# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=31645
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	2.0803765567512054;	0.9116210815068648;
-2212;	0.938;	-1;	5.797513762426872;	0.9871629186758158;
-2212;	0.938;	-1;	9.020411959767747;	0.9946368715464167;
-2212;	0.938;	-1;	3.5122705268486936;	0.9661393711796826;
-2212;	0.938;	-1;	3.404294595722438;	0.9640735743334456;
-2212;	0.938;	-1;	6.447724056797484;	0.9895831766751394;
-2212;	0.938;	-1;	26.49055639792798;	0.9993736957324612;
-2212;	0.938;	-1;	13.821632901486712;	0.9977051199644518;
-2212;	0.938;	-1;	4.764661758514869;	0.9811675563541864;
-2212;	0.938;	-1;	3.680680177048938;	0.9690279304614556;
-2212;	0.938;	-1;	11.159471337169496;	0.9964860578583581;
-2212;	0.938;	-1;	12.397025693411504;	0.9971497639917045;
-2212;	0.938;	-1;	4.629115264165281;	0.9800817503638021;
-2212;	0.938;	-1;	13.320424269393373;	0.9975298230414319;
-2212;	0.938;	-1;	12.589715803522623;	0.9972359854516714;
-2212;	0.938;	-1;	20.602114470068262;	0.998965149682136;
-2212;	0.938;	-1;	3.624501684850432;	0.9681061809876875;
-2212;	0.938;	-1;	14.058860545705864;	0.9977816583071994;
-2212;	0.938;	-1;	5.9693086914407445;	0.9878779939435772;
-2212;	0.938;	-1;	4.709679812116424;	0.9807379782263191;
-2212;	0.938;	-1;	10.071358958823431;	0.9956909122971613;
-2212;	0.938;	-1;	8.96393966376866;	0.994569635070376;
-2212;	0.938;	-1;	10.36207202851481;	0.9959278536148477;
-2212;	0.938;	-1;	3.5229810324651196;	0.9663346790630588;
-2212;	0.938;	-1;	2.9008081504210166;	0.951492228039593;
-2212;	0.938;	-1;	6.83581119055705;	0.990716432681438;
-2212;	0.938;	-1;	14.039414148497258;	0.9977755291774176;
-2212;	0.938;	-1;	14.127303420951112;	0.9978030301322823;
-2212;	0.938;	-1;	14.809243389708504;	0.9980001123100292;
