# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=105689682
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
1.1901206243876887;	1.1988715113317159;	73636
1.1988715113317159;	1.207622398275743;	73048
1.207622398275743;	1.2163732852197702;	71372
1.2163732852197702;	1.2251241721637973;	70850
1.2251241721637973;	1.2338750591078245;	69553
1.2338750591078245;	1.2426259460518514;	68183
1.2426259460518514;	1.2513768329958785;	67565
1.2513768329958785;	1.2601277199399057;	66551
1.2601277199399057;	1.2688786068839328;	65356
1.2688786068839328;	1.27762949382796;	64400
1.27762949382796;	1.2863803807719871;	63241
1.2863803807719871;	1.2951312677160143;	62448
1.2951312677160143;	1.3038821546600414;	61970
1.3038821546600414;	1.3126330416040686;	60820
1.3126330416040686;	1.3213839285480955;	59546
1.3213839285480955;	1.3301348154921226;	58558
1.3301348154921226;	1.3388857024361498;	58341
1.3388857024361498;	1.347636589380177;	57380
1.347636589380177;	1.356387476324204;	56376
1.356387476324204;	1.3651383632682312;	55290
1.3651383632682312;	1.3738892502122584;	54902
1.3738892502122584;	1.3826401371562855;	54617
1.3826401371562855;	1.3913910241003127;	53173
1.3913910241003127;	1.4001419110443396;	52681
1.4001419110443396;	1.4088927979883668;	51958
1.4088927979883668;	1.417643684932394;	51425
1.417643684932394;	1.426394571876421;	50817
1.426394571876421;	1.4351454588204482;	49901
1.4351454588204482;	1.4438963457644753;	49101
1.4438963457644753;	1.4526472327085025;	48545
1.4526472327085025;	1.4613981196525296;	48331
1.4613981196525296;	1.4701490065965568;	47208
1.4701490065965568;	1.478899893540584;	46804
1.478899893540584;	1.4876507804846109;	46106
1.4876507804846109;	1.496401667428638;	45442
1.496401667428638;	1.5051525543726652;	44862
1.5051525543726652;	1.5139034413166923;	44383
1.5139034413166923;	1.5226543282607194;	43540
1.5226543282607194;	1.5314052152047466;	43057
1.5314052152047466;	1.5401561021487737;	42448
1.5401561021487737;	1.548906989092801;	41957
1.548906989092801;	1.557657876036828;	41648
1.557657876036828;	1.566408762980855;	40867
1.566408762980855;	1.575159649924882;	40273
1.575159649924882;	1.5839105368689093;	40036
1.5839105368689093;	1.5926614238129364;	39178
1.5926614238129364;	1.6014123107569636;	39458
1.6014123107569636;	1.6101631977009907;	38466
1.6101631977009907;	1.6189140846450178;	37817
1.6189140846450178;	1.627664971589045;	37867
1.627664971589045;	1.6364158585330721;	36962
1.6364158585330721;	1.645166745477099;	36720
1.645166745477099;	1.6539176324211262;	36523
1.6539176324211262;	1.6626685193651534;	35896
1.6626685193651534;	1.6714194063091805;	35229
1.6714194063091805;	1.6801702932532077;	35026
1.6801702932532077;	1.6889211801972348;	34262
1.6889211801972348;	1.697672067141262;	34093
1.697672067141262;	1.706422954085289;	33850
1.706422954085289;	1.7151738410293162;	33507
1.7151738410293162;	1.7239247279733432;	32998
1.7239247279733432;	1.7326756149173703;	32467
1.7326756149173703;	1.7414265018613975;	32153
1.7414265018613975;	1.7501773888054246;	31559
1.7501773888054246;	1.7589282757494518;	31526
1.7589282757494518;	1.767679162693479;	31052
1.767679162693479;	1.776430049637506;	30683
1.776430049637506;	1.7851809365815332;	30225
1.7851809365815332;	1.7939318235255604;	29745
1.7939318235255604;	1.8026827104695873;	29561
1.8026827104695873;	1.8114335974136144;	29219
1.8114335974136144;	1.8201844843576416;	28738
1.8201844843576416;	1.8289353713016687;	28410
1.8289353713016687;	1.8376862582456959;	28243
1.8376862582456959;	1.846437145189723;	27846
1.846437145189723;	1.8551880321337502;	27282
1.8551880321337502;	1.8639389190777773;	27072
1.8639389190777773;	1.8726898060218045;	26832
1.8726898060218045;	1.8814406929658314;	26476
1.8814406929658314;	1.8901915799098585;	26247
1.8901915799098585;	1.8989424668538857;	26113
1.8989424668538857;	1.9076933537979128;	25592
1.9076933537979128;	1.91644424074194;	25061
1.91644424074194;	1.9251951276859671;	24954
1.9251951276859671;	1.9339460146299943;	24517
1.9339460146299943;	1.9426969015740214;	24630
1.9426969015740214;	1.9514477885180486;	23890
1.9514477885180486;	1.9601986754620757;	23784
1.9601986754620757;	1.9689495624061026;	23770
1.9689495624061026;	1.9777004493501298;	23537
1.9777004493501298;	1.986451336294157;	22863
1.986451336294157;	1.995202223238184;	22798
1.995202223238184;	2.003953110182211;	22701
2.003953110182211;	2.012703997126238;	21934
2.012703997126238;	2.0214548840702653;	22101
2.0214548840702653;	2.0302057710142924;	21816
2.0302057710142924;	2.0389566579583196;	21500
2.0389566579583196;	2.0477075449023467;	21233
2.0477075449023467;	2.056458431846374;	21010
2.056458431846374;	2.065209318790401;	20845
2.065209318790401;	2.073960205734428;	20424
2.073960205734428;	2.0827110926784553;	20252
2.0827110926784553;	2.0914619796224825;	20110
2.0914619796224825;	2.1002128665665096;	19626
2.1002128665665096;	2.1089637535105368;	19459
2.1089637535105368;	2.117714640454564;	19390
2.117714640454564;	2.126465527398591;	19368
2.126465527398591;	2.135216414342618;	18815
2.135216414342618;	2.1439673012866454;	18564
2.1439673012866454;	2.1527181882306725;	18417
2.1527181882306725;	2.161469075174699;	18248
2.161469075174699;	2.1702199621187264;	17946
2.1702199621187264;	2.1789708490627535;	17763
2.1789708490627535;	2.1877217360067807;	17661
2.1877217360067807;	2.196472622950808;	17159
2.196472622950808;	2.205223509894835;	17217
2.205223509894835;	2.213974396838862;	17096
2.213974396838862;	2.2227252837828892;	16768
2.2227252837828892;	2.2314761707269164;	16631
2.2314761707269164;	2.2402270576709435;	16311
2.2402270576709435;	2.2489779446149707;	16377
2.2489779446149707;	2.257728831558998;	16073
2.257728831558998;	2.266479718503025;	16071
2.266479718503025;	2.275230605447052;	15525
2.275230605447052;	2.2839814923910793;	15368
2.2839814923910793;	2.2927323793351064;	15265
2.2927323793351064;	2.3014832662791336;	15048
2.3014832662791336;	2.3102341532231607;	14681
2.3102341532231607;	2.318985040167188;	14795
2.318985040167188;	2.3277359271112146;	14335
2.3277359271112146;	2.3364868140552417;	14184
2.3364868140552417;	2.345237700999269;	14022
2.345237700999269;	2.353988587943296;	13772
2.353988587943296;	2.362739474887323;	13447
2.362739474887323;	2.3714903618313503;	13284
2.3714903618313503;	2.3802412487753775;	13162
2.3802412487753775;	2.3889921357194046;	13174
2.3889921357194046;	2.3977430226634318;	13150
2.3977430226634318;	2.406493909607459;	12849
2.406493909607459;	2.415244796551486;	12523
2.415244796551486;	2.423995683495513;	12273
2.423995683495513;	2.4327465704395403;	12212
2.4327465704395403;	2.4414974573835675;	12138
2.4414974573835675;	2.4502483443275946;	11964
2.4502483443275946;	2.458999231271622;	11695
2.458999231271622;	2.467750118215649;	11375
2.467750118215649;	2.476501005159676;	11278
2.476501005159676;	2.485251892103703;	11177
2.485251892103703;	2.49400277904773;	11114
2.49400277904773;	2.502753665991757;	10800
2.502753665991757;	2.5115045529357842;	10776
2.5115045529357842;	2.5202554398798114;	10776
2.5202554398798114;	2.5290063268238385;	10493
2.5290063268238385;	2.5377572137678657;	10151
2.5377572137678657;	2.546508100711893;	10169
2.546508100711893;	2.55525898765592;	9824
2.55525898765592;	2.564009874599947;	9752
2.564009874599947;	2.5727607615439743;	9403
2.5727607615439743;	2.5815116484880014;	9404
2.5815116484880014;	2.5902625354320286;	9250
2.5902625354320286;	2.5990134223760557;	9160
2.5990134223760557;	2.607764309320083;	8970
2.607764309320083;	2.61651519626411;	8849
2.61651519626411;	2.625266083208137;	8651
2.625266083208137;	2.6340169701521643;	8376
2.6340169701521643;	2.642767857096191;	8229
2.642767857096191;	2.651518744040218;	8133
2.651518744040218;	2.6602696309842453;	8055
2.6602696309842453;	2.6690205179282724;	7810
2.6690205179282724;	2.6777714048722996;	7647
2.6777714048722996;	2.6865222918163267;	7471
2.6865222918163267;	2.695273178760354;	7432
2.695273178760354;	2.704024065704381;	7302
2.704024065704381;	2.712774952648408;	6951
2.712774952648408;	2.7215258395924353;	6930
2.7215258395924353;	2.7302767265364625;	6775
2.7302767265364625;	2.7390276134804896;	6675
2.7390276134804896;	2.7477785004245168;	6686
2.7477785004245168;	2.756529387368544;	6469
2.756529387368544;	2.765280274312571;	6273
2.765280274312571;	2.774031161256598;	5952
2.774031161256598;	2.7827820482006254;	5824
2.7827820482006254;	2.7915329351446525;	6013
2.7915329351446525;	2.800283822088679;	5599
2.800283822088679;	2.8090347090327064;	5442
2.8090347090327064;	2.8177855959767335;	5243
2.8177855959767335;	2.8265364829207607;	5253
2.8265364829207607;	2.835287369864788;	5042
2.835287369864788;	2.844038256808815;	4978
2.844038256808815;	2.852789143752842;	4706
2.852789143752842;	2.8615400306968692;	4591
2.8615400306968692;	2.8702909176408964;	4481
2.8702909176408964;	2.8790418045849235;	4362
2.8790418045849235;	2.8877926915289507;	4098
2.8877926915289507;	2.896543578472978;	4021
2.896543578472978;	2.905294465417005;	3886
2.905294465417005;	2.914045352361032;	3786
2.914045352361032;	2.9227962393050593;	3589
2.9227962393050593;	2.9315471262490864;	3562
2.9315471262490864;	2.9402980131931136;	3476
2.9402980131931136;	2.9490489001371407;	3198
