# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=63071405
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
1.1988715113317159;	1.207622398275743;	73158
1.207622398275743;	1.2163732852197702;	72348
1.2163732852197702;	1.2251241721637973;	71185
1.2251241721637973;	1.2338750591078245;	70460
1.2338750591078245;	1.2426259460518514;	69262
1.2426259460518514;	1.2513768329958785;	67956
1.2513768329958785;	1.2601277199399057;	67192
1.2601277199399057;	1.2688786068839328;	65951
1.2688786068839328;	1.27762949382796;	65211
1.27762949382796;	1.2863803807719871;	64537
1.2863803807719871;	1.2951312677160143;	63280
1.2951312677160143;	1.3038821546600414;	62232
1.3038821546600414;	1.3126330416040686;	61622
1.3126330416040686;	1.3213839285480955;	60847
1.3213839285480955;	1.3301348154921226;	59798
1.3301348154921226;	1.3388857024361498;	59335
1.3388857024361498;	1.347636589380177;	57901
1.347636589380177;	1.356387476324204;	57221
1.356387476324204;	1.3651383632682312;	56128
1.3651383632682312;	1.3738892502122584;	55475
1.3738892502122584;	1.3826401371562855;	54385
1.3826401371562855;	1.3913910241003127;	54233
1.3913910241003127;	1.4001419110443396;	52661
1.4001419110443396;	1.4088927979883668;	52801
1.4088927979883668;	1.417643684932394;	51771
1.417643684932394;	1.426394571876421;	51155
1.426394571876421;	1.4351454588204482;	50978
1.4351454588204482;	1.4438963457644753;	49257
1.4438963457644753;	1.4526472327085025;	48657
1.4526472327085025;	1.4613981196525296;	48501
1.4613981196525296;	1.4701490065965568;	47777
1.4701490065965568;	1.478899893540584;	46828
1.478899893540584;	1.4876507804846109;	46794
1.4876507804846109;	1.496401667428638;	45718
1.496401667428638;	1.5051525543726652;	45312
1.5051525543726652;	1.5139034413166923;	44212
1.5139034413166923;	1.5226543282607194;	44284
1.5226543282607194;	1.5314052152047466;	43450
1.5314052152047466;	1.5401561021487737;	43067
1.5401561021487737;	1.548906989092801;	42223
1.548906989092801;	1.557657876036828;	41982
1.557657876036828;	1.566408762980855;	40884
1.566408762980855;	1.575159649924882;	40563
1.575159649924882;	1.5839105368689093;	40282
1.5839105368689093;	1.5926614238129364;	39749
1.5926614238129364;	1.6014123107569636;	39196
1.6014123107569636;	1.6101631977009907;	38799
1.6101631977009907;	1.6189140846450178;	38634
1.6189140846450178;	1.627664971589045;	37795
1.627664971589045;	1.6364158585330721;	37465
1.6364158585330721;	1.645166745477099;	36795
1.645166745477099;	1.6539176324211262;	36486
1.6539176324211262;	1.6626685193651534;	35881
1.6626685193651534;	1.6714194063091805;	35430
1.6714194063091805;	1.6801702932532077;	35396
1.6801702932532077;	1.6889211801972348;	35088
1.6889211801972348;	1.697672067141262;	33978
1.697672067141262;	1.706422954085289;	33921
1.706422954085289;	1.7151738410293162;	33601
1.7151738410293162;	1.7239247279733432;	33080
1.7239247279733432;	1.7326756149173703;	32529
1.7326756149173703;	1.7414265018613975;	32034
1.7414265018613975;	1.7501773888054246;	31707
1.7501773888054246;	1.7589282757494518;	31466
1.7589282757494518;	1.767679162693479;	30750
1.767679162693479;	1.776430049637506;	31067
1.776430049637506;	1.7851809365815332;	30030
1.7851809365815332;	1.7939318235255604;	30052
1.7939318235255604;	1.8026827104695873;	29478
1.8026827104695873;	1.8114335974136144;	29374
1.8114335974136144;	1.8201844843576416;	28889
1.8201844843576416;	1.8289353713016687;	28568
1.8289353713016687;	1.8376862582456959;	27962
1.8376862582456959;	1.846437145189723;	27623
1.846437145189723;	1.8551880321337502;	27731
1.8551880321337502;	1.8639389190777773;	27192
1.8639389190777773;	1.8726898060218045;	26899
1.8726898060218045;	1.8814406929658314;	26586
1.8814406929658314;	1.8901915799098585;	26350
1.8901915799098585;	1.8989424668538857;	25913
1.8989424668538857;	1.9076933537979128;	25678
1.9076933537979128;	1.91644424074194;	25544
1.91644424074194;	1.9251951276859671;	25111
1.9251951276859671;	1.9339460146299943;	24749
1.9339460146299943;	1.9426969015740214;	24519
1.9426969015740214;	1.9514477885180486;	24036
1.9514477885180486;	1.9601986754620757;	23827
1.9601986754620757;	1.9689495624061026;	23920
1.9689495624061026;	1.9777004493501298;	23333
1.9777004493501298;	1.986451336294157;	23006
1.986451336294157;	1.995202223238184;	22991
1.995202223238184;	2.003953110182211;	22821
2.003953110182211;	2.012703997126238;	22352
2.012703997126238;	2.0214548840702653;	22400
2.0214548840702653;	2.0302057710142924;	21603
2.0302057710142924;	2.0389566579583196;	21335
2.0389566579583196;	2.0477075449023467;	21271
2.0477075449023467;	2.056458431846374;	21388
2.056458431846374;	2.065209318790401;	20895
2.065209318790401;	2.073960205734428;	20355
2.073960205734428;	2.0827110926784553;	20385
2.0827110926784553;	2.0914619796224825;	19977
2.0914619796224825;	2.1002128665665096;	19692
2.1002128665665096;	2.1089637535105368;	19582
2.1089637535105368;	2.117714640454564;	19640
2.117714640454564;	2.126465527398591;	19151
2.126465527398591;	2.135216414342618;	18926
2.135216414342618;	2.1439673012866454;	18655
2.1439673012866454;	2.1527181882306725;	18214
2.1527181882306725;	2.161469075174699;	18222
2.161469075174699;	2.1702199621187264;	18274
2.1702199621187264;	2.1789708490627535;	17738
2.1789708490627535;	2.1877217360067807;	17578
2.1877217360067807;	2.196472622950808;	17397
2.196472622950808;	2.205223509894835;	17252
2.205223509894835;	2.213974396838862;	16842
2.213974396838862;	2.2227252837828892;	16729
2.2227252837828892;	2.2314761707269164;	16690
2.2314761707269164;	2.2402270576709435;	16446
2.2402270576709435;	2.2489779446149707;	16189
2.2489779446149707;	2.257728831558998;	15883
2.257728831558998;	2.266479718503025;	15477
2.266479718503025;	2.275230605447052;	15412
2.275230605447052;	2.2839814923910793;	15310
2.2839814923910793;	2.2927323793351064;	15177
2.2927323793351064;	2.3014832662791336;	15006
2.3014832662791336;	2.3102341532231607;	14713
2.3102341532231607;	2.318985040167188;	14702
2.318985040167188;	2.3277359271112146;	14568
2.3277359271112146;	2.3364868140552417;	14038
2.3364868140552417;	2.345237700999269;	13937
2.345237700999269;	2.353988587943296;	13818
2.353988587943296;	2.362739474887323;	13716
2.362739474887323;	2.3714903618313503;	13398
2.3714903618313503;	2.3802412487753775;	13239
2.3802412487753775;	2.3889921357194046;	13121
2.3889921357194046;	2.3977430226634318;	12962
2.3977430226634318;	2.406493909607459;	12845
2.406493909607459;	2.415244796551486;	12464
