# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=554
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	1.8399847330420978;	0.8909123052099168;
-2212;	0.938;	-1;	2.227473487098107;	0.921618145830917;
-2212;	0.938;	-1;	0.553100028409454;	0.507930878956466;
-2212;	0.938;	-1;	2.4890371859427893;	0.9357580149576133;
-2212;	0.938;	-1;	7.193141242115645;	0.9916045799090092;
-2212;	0.938;	-1;	2.8804524988183715;	0.9508541078804229;
-2212;	0.938;	-1;	4.277555640706781;	0.9767909764100688;
-2212;	0.938;	-1;	2.5581194141988366;	0.9388736015548897;
-2212;	0.938;	-1;	2.763202874072948;	0.9469281459084401;
-2212;	0.938;	-1;	0.5057473151331701;	0.47458743791945546;
-2212;	0.938;	-1;	4.210526463167403;	0.9760726684762964;
-2212;	0.938;	-1;	4.130165049354566;	0.975167228802686;
-2212;	0.938;	-1;	1.3690893387489365;	0.8249547731289368;
-2212;	0.938;	-1;	0.4737448786859442;	0.45082218216629344;
-2212;	0.938;	-1;	1.4125553170977057;	0.8330569997328816;
-2212;	0.938;	-1;	3.0514074539051648;	0.955857743224291;
-2212;	0.938;	-1;	0.7235746952955168;	0.6107900629460249;
-2212;	0.938;	-1;	0.6821326270599875;	0.5881439567715142;
-2212;	0.938;	-1;	1.9508301726275405;	0.9012342247699834;
-2212;	0.938;	-1;	1.2646219050012537;	0.8031794294927455;
-2212;	0.938;	-1;	2.6906019530614333;	0.94426369331518;
-2212;	0.938;	-1;	2.3764221659461096;	0.9301634263190042;
-2212;	0.938;	-1;	3.1317423342069506;	0.957954383987346;
-2212;	0.938;	-1;	4.811788457200607;	0.9815245303243209;
-2212;	0.938;	-1;	2.867011269022324;	0.9504259943318926;
-2212;	0.938;	-1;	5.636353828671742;	0.986433409555285;
-2212;	0.938;	-1;	2.2447208558772402;	0.9226824708871876;
-2212;	0.938;	-1;	3.662091989772512;	0.9687273471341008;
-2212;	0.938;	-1;	3.253516028806374;	0.9608640245034983;
-2212;	0.938;	-1;	6.83559746810277;	0.9907158602101046;
-2212;	0.938;	-1;	6.144635188871996;	0.9885482183519544;
-2212;	0.938;	-1;	1.6057603678559886;	0.8634729798817202;
-2212;	0.938;	-1;	6.145403655891775;	0.9885510332104158;
-2212;	0.938;	-1;	0.9406902451912638;	0.7081186173070363;
-2212;	0.938;	-1;	0.8954679035146933;	0.690517815852625;
-2212;	0.938;	-1;	4.047746822026422;	0.9741848916763969;
-2212;	0.938;	-1;	1.4795189690281094;	0.8445683510564702;
-2212;	0.938;	-1;	4.955370540102979;	0.9825522247697094;
-2212;	0.938;	-1;	2.445672985389502;	0.9336833231036022;
-2212;	0.938;	-1;	1.1067037137901905;	0.7628563320053451;
-2212;	0.938;	-1;	4.076198519459277;	0.9745304080963078;
-2212;	0.938;	-1;	1.413980945875863;	0.8333140178610833;
-2212;	0.938;	-1;	2.6321912911221403;	0.9419761302874576;
-2212;	0.938;	-1;	1.871023240066515;	0.8939511187569162;
-2212;	0.938;	-1;	0.7828495801627539;	0.6407556219463056;
-2212;	0.938;	-1;	2.5868958802738855;	0.9401069243547762;
-2212;	0.938;	-1;	1.1386607847998456;	0.7718373048376583;
-2212;	0.938;	-1;	4.562665401895052;	0.9795151897436163;
-2212;	0.938;	-1;	7.193141242115645;	0.9916045799090092;
-2212;	0.938;	-1;	3.977637229116206;	0.9733032822020081;
-2212;	0.938;	-1;	4.173568289450288;	0.9756624387681302;
-2212;	0.938;	-1;	1.6883775113738158;	0.8741545300115185;
-2212;	0.938;	-1;	5.120837162250817;	0.9836344882727592;
-2212;	0.938;	-1;	0.4837809491515762;	0.45838246768606855;
-2212;	0.938;	-1;	1.8178215440754906;	0.8886665725415076;
-2212;	0.938;	-1;	4.547320047288623;	0.9793809545942774;
-2212;	0.938;	-1;	5.466843154523218;	0.985597417774642;
-2212;	0.938;	-1;	2.7122459841448747;	0.9450780617623418;
-2212;	0.938;	-1;	2.071537526302625;	0.910963223848442;
-2212;	0.938;	-1;	5.799524562380609;	0.9871716482998528;
-2212;	0.938;	-1;	2.229761887503013;	0.9217605704009367;
-2212;	0.938;	-1;	2.8428537028347063;	0.9496427366305783;
-2212;	0.938;	-1;	3.7633682351707223;	0.9703146719761163;
-2212;	0.938;	-1;	10.022465770341348;	0.9956490418525883;
-2212;	0.938;	-1;	5.336845510795024;	0.9849032245362616;
-2212;	0.938;	-1;	4.329976928916596;	0.977330691167441;
-2212;	0.938;	-1;	3.6207072842058086;	0.9680424702776479;
-2212;	0.938;	-1;	0.5068811973616008;	0.4754111824238019;
-2212;	0.938;	-1;	2.791558834629856;	0.9479185179075428;
-2212;	0.938;	-1;	5.203743047525791;	0.9841395628037156;
-2212;	0.938;	-1;	3.7545410704297804;	0.9701811124202316;
-2212;	0.938;	-1;	1.873527685975316;	0.8941910708994009;
-2212;	0.938;	-1;	0.3069990225461475;	0.311054805593814;
-2212;	0.938;	-1;	3.000559065926215;	0.9544505150481933;
-2212;	0.938;	-1;	5.263013510240392;	0.9844865593735673;
-2212;	0.938;	-1;	4.530286858016388;	0.9792304203167107;
-2212;	0.938;	-1;	0.795580666442442;	0.6468365103382673;
-2212;	0.938;	-1;	3.684290149926306;	0.9690858112716767;
-2212;	0.938;	-1;	3.24196979255961;	0.9606010513509795;
-2212;	0.938;	-1;	3.01881696924474;	0.9549632704507637;
-2212;	0.938;	-1;	0.400315518656222;	0.3925234486405656;
-2212;	0.938;	-1;	2.6816241480970073;	0.9439207292455757;
-2212;	0.938;	-1;	3.7968139768791676;	0.9708127860595065;
-2212;	0.938;	-1;	4.000130134952112;	0.9735909167691413;
-2212;	0.938;	-1;	1.663663877801054;	0.87108533794082;
-2212;	0.938;	-1;	4.678365961341737;	0.9804867847750963;
-2212;	0.938;	-1;	2.19087465655272;	0.9192887314339326;
-2212;	0.938;	-1;	1.2571726284997617;	0.801490721284579;
-2212;	0.938;	-1;	2.230463125836874;	0.9218041392611165;
-2212;	0.938;	-1;	4.356580384077631;	0.977597500620691;
-2212;	0.938;	-1;	7.392375868658804;	0.9920457056209121;
-2212;	0.938;	-1;	5.076710848135927;	0.9833558511478827;
-2212;	0.938;	-1;	2.508068986608024;	0.9366389340194063;
-2212;	0.938;	-1;	1.439845033799818;	0.8378845779057406;
-2212;	0.938;	-1;	2.546648315619571;	0.9383716635190568;
-2212;	0.938;	-1;	2.6130240026048366;	0.9411956576747769;
-2212;	0.938;	-1;	2.486425715412789;	0.9356357544760135;
-2212;	0.938;	-1;	3.034694077159304;	0.9554023168742696;
-2212;	0.938;	-1;	2.8791757364186377;	0.9508136748405631;
-2212;	0.938;	-1;	2.4934631930592035;	0.9359644582623995;
-2212;	0.938;	-1;	0.6479679954505546;	0.5683696854228193;
-2212;	0.938;	-1;	9.794119291360914;	0.9954451948528183;
-2212;	0.938;	-1;	3.3772442821910293;	0.9635269888464916;
-2212;	0.938;	-1;	3.666855027561334;	0.9688047776332521;
-2212;	0.938;	-1;	7.513661425160306;	0.9922974941881164;
-2212;	0.938;	-1;	0.25476196477530627;	0.2621058278306569;
-2212;	0.938;	-1;	5.711672821326166;	0.9867818357214875;
-2212;	0.938;	-1;	4.5089440799708305;	0.9790394857050494;
-2212;	0.938;	-1;	2.230463125836874;	0.9218041392611165;
-2212;	0.938;	-1;	6.236994303979842;	0.9888792747909163;
-2212;	0.938;	-1;	3.302128901722796;	0.9619433825774305;
-2212;	0.938;	-1;	4.201225073857981;	0.9759703949023123;
-2212;	0.938;	-1;	1.3468224085353644;	0.820596587895243;
-2212;	0.938;	-1;	3.8956956121127138;	0.972215268620948;
-2212;	0.938;	-1;	6.0279392557679286;	0.9881084868090542;
-2212;	0.938;	-1;	1.0846277301959415;	0.7563826376721827;
-2212;	0.938;	-1;	1.07865366295628;	0.7545915646571262;
-2212;	0.938;	-1;	2.543808082266624;	0.9382464597164335;
