# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=104629527
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
1.1901206243876887;	1.1988715113317159;	76094
1.1988715113317159;	1.207622398275743;	74993
1.207622398275743;	1.2163732852197702;	73701
1.2163732852197702;	1.2251241721637973;	73020
1.2251241721637973;	1.2338750591078245;	71432
1.2338750591078245;	1.2426259460518514;	70225
1.2426259460518514;	1.2513768329958785;	69340
1.2513768329958785;	1.2601277199399057;	67906
1.2601277199399057;	1.2688786068839328;	67524
1.2688786068839328;	1.27762949382796;	66477
1.27762949382796;	1.2863803807719871;	64841
1.2863803807719871;	1.2951312677160143;	64922
1.2951312677160143;	1.3038821546600414;	63773
1.3038821546600414;	1.3126330416040686;	62791
1.3126330416040686;	1.3213839285480955;	61613
1.3213839285480955;	1.3301348154921226;	61265
1.3301348154921226;	1.3388857024361498;	60083
1.3388857024361498;	1.347636589380177;	59521
1.347636589380177;	1.356387476324204;	58189
1.356387476324204;	1.3651383632682312;	57971
1.3651383632682312;	1.3738892502122584;	57331
1.3738892502122584;	1.3826401371562855;	56360
1.3826401371562855;	1.3913910241003127;	55524
1.3913910241003127;	1.4001419110443396;	54984
1.4001419110443396;	1.4088927979883668;	53786
1.4088927979883668;	1.417643684932394;	53372
1.417643684932394;	1.426394571876421;	52263
1.426394571876421;	1.4351454588204482;	51713
1.4351454588204482;	1.4438963457644753;	51321
1.4438963457644753;	1.4526472327085025;	50299
1.4526472327085025;	1.4613981196525296;	50213
1.4613981196525296;	1.4701490065965568;	49536
1.4701490065965568;	1.478899893540584;	48825
1.478899893540584;	1.4876507804846109;	48182
1.4876507804846109;	1.496401667428638;	47658
1.496401667428638;	1.5051525543726652;	46910
1.5051525543726652;	1.5139034413166923;	46139
1.5139034413166923;	1.5226543282607194;	45714
1.5226543282607194;	1.5314052152047466;	44818
1.5314052152047466;	1.5401561021487737;	44915
1.5401561021487737;	1.548906989092801;	43811
1.548906989092801;	1.557657876036828;	43376
1.557657876036828;	1.566408762980855;	42896
1.566408762980855;	1.575159649924882;	42457
1.575159649924882;	1.5839105368689093;	41869
1.5839105368689093;	1.5926614238129364;	41491
1.5926614238129364;	1.6014123107569636;	40792
1.6014123107569636;	1.6101631977009907;	40507
1.6101631977009907;	1.6189140846450178;	39941
1.6189140846450178;	1.627664971589045;	39426
1.627664971589045;	1.6364158585330721;	39036
1.6364158585330721;	1.645166745477099;	38386
1.645166745477099;	1.6539176324211262;	37884
1.6539176324211262;	1.6626685193651534;	37519
1.6626685193651534;	1.6714194063091805;	36983
1.6714194063091805;	1.6801702932532077;	36698
1.6801702932532077;	1.6889211801972348;	36148
1.6889211801972348;	1.697672067141262;	35875
1.697672067141262;	1.706422954085289;	35193
1.706422954085289;	1.7151738410293162;	34894
1.7151738410293162;	1.7239247279733432;	34475
