# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=48365263
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
1.1988715113317159;	1.207622398275743;	34543
1.207622398275743;	1.2163732852197702;	33885
1.2163732852197702;	1.2251241721637973;	33451
1.2251241721637973;	1.2338750591078245;	33041
1.2338750591078245;	1.2426259460518514;	32226
1.2426259460518514;	1.2513768329958785;	31673
1.2513768329958785;	1.2601277199399057;	31157
1.2601277199399057;	1.2688786068839328;	31245
1.2688786068839328;	1.27762949382796;	30459
1.27762949382796;	1.2863803807719871;	30276
1.2863803807719871;	1.2951312677160143;	29878
1.2951312677160143;	1.3038821546600414;	28995
1.3038821546600414;	1.3126330416040686;	28909
1.3126330416040686;	1.3213839285480955;	28713
1.3213839285480955;	1.3301348154921226;	28416
1.3301348154921226;	1.3388857024361498;	27876
1.3388857024361498;	1.347636589380177;	27533
1.347636589380177;	1.356387476324204;	27095
1.356387476324204;	1.3651383632682312;	26747
1.3651383632682312;	1.3738892502122584;	26564
1.3738892502122584;	1.3826401371562855;	25780
1.3826401371562855;	1.3913910241003127;	25799
1.3913910241003127;	1.4001419110443396;	25231
1.4001419110443396;	1.4088927979883668;	24694
1.4088927979883668;	1.417643684932394;	24747
1.417643684932394;	1.426394571876421;	24128
1.426394571876421;	1.4351454588204482;	23720
1.4351454588204482;	1.4438963457644753;	23619
1.4438963457644753;	1.4526472327085025;	23241
1.4526472327085025;	1.4613981196525296;	23175
1.4613981196525296;	1.4701490065965568;	22974
1.4701490065965568;	1.478899893540584;	22753
1.478899893540584;	1.4876507804846109;	22143
1.4876507804846109;	1.496401667428638;	21674
1.496401667428638;	1.5051525543726652;	21702
1.5051525543726652;	1.5139034413166923;	21572
1.5139034413166923;	1.5226543282607194;	21193
1.5226543282607194;	1.5314052152047466;	20889
1.5314052152047466;	1.5401561021487737;	20531
1.5401561021487737;	1.548906989092801;	20524
1.548906989092801;	1.557657876036828;	19736
1.557657876036828;	1.566408762980855;	19794
1.566408762980855;	1.575159649924882;	19914
1.575159649924882;	1.5839105368689093;	19527
1.5839105368689093;	1.5926614238129364;	18898
1.5926614238129364;	1.6014123107569636;	18499
1.6014123107569636;	1.6101631977009907;	18788
1.6101631977009907;	1.6189140846450178;	18512
