# hega-rs ver.0.2.9 statistics: 
#UrQmdF19 in Lab: false
FinEnergy;	ECharge;	BCharge;	LCharge;	FinCnt;	FinChargedCnt;	PseudorapidityFilterCnt(-0.5, 0.5);	PseudorapidityFilterCnt(-1.0, 1.0);	PseudorapidityFilterCnt(-1.5, 1.5);	PseudorapidityFilterCnt(3.5, 5.8);	PseudorapidityFilterCnt(-5.8, -3.5);	PseudorapidityFilterCnt(4.4, 5.8);	PseudorapidityFilterCnt(-5.8, -4.4)
6910.009167899569;	172;	408;	0;	1591;	934;	46;	100;	181;	167;	0;	36;	0
6931.498709340509;	170;	407;	0;	1304;	766;	42;	94;	176;	125;	0;	31;	0
6880.656995402797;	168;	405;	0;	1410;	809;	41;	102;	183;	139;	0;	48;	0
6957.75216491205;	172;	406;	0;	1261;	716;	31;	86;	164;	136;	0;	32;	0
7016.880934803781;	172;	407;	0;	1267;	735;	49;	101;	172;	155;	0;	45;	0
6875.57011951627;	172;	408;	0;	1536;	884;	38;	92;	179;	147;	0;	36;	0
6942.570331093976;	171;	408;	0;	1327;	805;	56;	112;	181;	171;	0;	59;	0
6928.7220007648;	172;	408;	0;	1366;	774;	31;	90;	160;	129;	0;	41;	0
6923.957379899425;	172;	407;	0;	1249;	739;	42;	100;	170;	156;	0;	50;	0
6876.521844756614;	170;	406;	0;	1244;	723;	29;	71;	153;	141;	0;	51;	0
6949.6217756246015;	172;	408;	0;	1224;	702;	44;	98;	190;	127;	0;	52;	0
6997.6229068523035;	172;	408;	0;	1309;	762;	41;	84;	161;	139;	0;	42;	0
6921.393841473804;	172;	408;	0;	1180;	686;	36;	82;	148;	134;	0;	45;	0
6936.309218386906;	172;	407;	0;	1471;	869;	33;	80;	169;	145;	0;	33;	0
6898.480182084797;	172;	406;	0;	1175;	694;	43;	90;	152;	124;	0;	45;	0
6945.089410448449;	170;	407;	0;	1338;	776;	39;	92;	175;	162;	0;	51;	0
6955.943587067979;	170;	407;	0;	1281;	708;	31;	86;	171;	128;	0;	44;	0
6931.531456084677;	172;	407;	0;	1314;	729;	40;	84;	166;	137;	0;	48;	0
6940.844423918137;	172;	408;	0;	1506;	868;	31;	93;	171;	154;	0;	37;	0
6924.491209063943;	169;	406;	0;	1218;	682;	44;	91;	150;	146;	0;	41;	0
6947.435961923722;	172;	407;	0;	1221;	703;	40;	95;	151;	144;	0;	43;	0
6951.986718831906;	172;	408;	0;	1654;	984;	37;	89;	188;	182;	0;	39;	0
6907.73355002474;	172;	407;	0;	1326;	763;	39;	100;	191;	132;	0;	42;	0
6908.7310693271775;	170;	406;	0;	1419;	839;	30;	85;	178;	142;	0;	41;	0
7006.821978590628;	172;	408;	0;	1616;	926;	30;	90;	171;	162;	0;	47;	0
6934.316089444517;	172;	408;	0;	1454;	850;	34;	100;	183;	150;	0;	51;	0
6892.068956642568;	172;	408;	0;	1446;	864;	40;	97;	193;	156;	0;	40;	0
6862.472521256978;	172;	407;	0;	1458;	847;	55;	116;	191;	154;	1;	50;	0
6914.8175479844085;	172;	405;	0;	1250;	739;	35;	98;	173;	127;	0;	48;	0
6997.21721926654;	172;	408;	0;	1310;	762;	48;	105;	192;	145;	0;	37;	0
6962.112145410955;	172;	408;	0;	1283;	734;	39;	106;	185;	127;	0;	39;	0
6950.515906454708;	172;	407;	0;	1476;	871;	38;	102;	183;	172;	0;	51;	0
6945.440819430627;	172;	407;	0;	1221;	721;	35;	93;	157;	141;	0;	42;	0
6883.400885886905;	172;	407;	0;	1233;	723;	32;	87;	164;	132;	0;	47;	0
6940.493829128673;	172;	407;	0;	1414;	833;	37;	103;	192;	136;	0;	50;	0
6908.741030749361;	170;	406;	0;	1359;	799;	51;	101;	195;	150;	0;	47;	0
6939.709066213663;	172;	408;	0;	1571;	916;	45;	105;	206;	158;	0;	33;	0
6864.119305523021;	172;	408;	0;	1470;	840;	52;	100;	203;	147;	0;	33;	0
6934.730427226396;	172;	408;	0;	1505;	900;	40;	90;	188;	144;	0;	48;	0
6948.20788463695;	171;	408;	0;	1532;	895;	45;	114;	205;	159;	0;	47;	0
6882.418710165994;	172;	406;	0;	1228;	712;	44;	105;	165;	129;	0;	41;	0
6927.530119194216;	172;	407;	0;	1311;	765;	39;	85;	177;	147;	0;	58;	0
6882.614753152085;	172;	407;	0;	1348;	775;	36;	88;	161;	141;	0;	52;	0
6914.623959936811;	169;	404;	0;	1195;	680;	40;	90;	159;	130;	0;	40;	0
6947.727956200205;	172;	405;	0;	1265;	731;	36;	77;	156;	131;	0;	38;	0
6892.92941476336;	172;	408;	0;	1562;	932;	34;	82;	172;	168;	0;	41;	0
6879.920680864597;	172;	407;	0;	1131;	613;	35;	87;	155;	114;	0;	46;	0
6893.1707824380555;	172;	407;	0;	1379;	813;	42;	107;	187;	149;	0;	38;	0
6943.726142772201;	172;	405;	0;	1485;	879;	43;	91;	173;	155;	0;	37;	0
6929.128067832636;	172;	406;	0;	1315;	738;	40;	77;	140;	156;	0;	55;	0
7009.356792313025;	172;	408;	0;	1496;	860;	35;	98;	178;	161;	0;	39;	0
6886.46458913979;	170;	405;	0;	1349;	748;	45;	97;	173;	140;	0;	49;	0
6888.902847461748;	172;	406;	0;	1234;	704;	36;	86;	151;	140;	0;	43;	0
6921.3464913755515;	170;	407;	0;	1313;	770;	37;	94;	169;	154;	0;	33;	0
6926.3957973525485;	172;	408;	0;	1497;	864;	39;	105;	206;	155;	0;	43;	0
6883.71327627487;	172;	406;	0;	1339;	738;	39;	85;	161;	151;	0;	42;	0
6891.045442713664;	172;	407;	0;	1399;	801;	38;	86;	161;	133;	0;	52;	0
