# hega-rs ver.0.2.9 statistics: 
#UrQmdF19 in Lab: false
FinEnergy;	ECharge;	BCharge;	LCharge;	FinCnt;	FinChargedCnt;	PseudorapidityFilterCnt(-0.5, 0.5);	PseudorapidityFilterCnt(-1.0, 1.0);	PseudorapidityFilterCnt(-1.5, 1.5);	PseudorapidityFilterCnt(3.5, 5.8);	PseudorapidityFilterCnt(-5.8, -3.5);	PseudorapidityFilterCnt(4.4, 5.8);	PseudorapidityFilterCnt(-5.8, -4.4)
6962.760163865532;	171;	408;	0;	1351;	775;	39;	83;	164;	150;	0;	47;	0
7035.039156503692;	172;	408;	0;	1629;	968;	31;	79;	168;	164;	1;	33;	0
6896.095201814475;	172;	407;	0;	1184;	671;	41;	94;	162;	123;	0;	45;	0
6922.8500572460425;	172;	408;	0;	1453;	858;	36;	87;	192;	128;	0;	41;	0
6886.215753347961;	172;	407;	0;	1436;	871;	42;	102;	183;	172;	0;	54;	0
6973.668294290801;	170;	406;	0;	1187;	663;	41;	97;	161;	131;	0;	46;	0
6897.7504574808;	172;	406;	0;	1199;	678;	39;	95;	159;	142;	0;	51;	0
6999.834462250782;	170;	406;	0;	1666;	969;	41;	106;	193;	175;	0;	35;	0
6987.8773984650925;	172;	407;	0;	1392;	779;	29;	80;	157;	156;	0;	40;	0
6927.277868497275;	172;	408;	0;	1481;	874;	27;	85;	162;	168;	0;	51;	0
6938.367380004767;	172;	408;	0;	1453;	840;	38;	102;	192;	139;	0;	43;	0
6892.709598514208;	172;	407;	0;	1404;	803;	40;	85;	163;	141;	0;	46;	0
6953.476951968378;	170;	407;	0;	1534;	918;	50;	108;	215;	164;	0;	46;	0
6913.185131049718;	172;	408;	0;	1335;	782;	47;	105;	188;	146;	0;	40;	0
6876.511597772913;	172;	407;	0;	1313;	763;	38;	109;	172;	163;	0;	44;	0
6908.5855386376115;	172;	408;	0;	1307;	742;	38;	82;	170;	141;	0;	54;	0
6946.289697885979;	172;	408;	0;	1341;	782;	37;	96;	167;	153;	0;	38;	0
6891.6161660351645;	170;	405;	0;	1355;	778;	44;	92;	171;	136;	0;	53;	0
6977.575009388031;	172;	404;	0;	1302;	766;	37;	88;	172;	145;	0;	49;	0
6971.978063198927;	170;	407;	0;	1369;	808;	42;	87;	185;	158;	0;	50;	0
6950.379857304564;	172;	408;	0;	1398;	790;	36;	84;	157;	150;	0;	42;	0
6946.739170475813;	172;	405;	0;	1476;	879;	35;	92;	181;	157;	0;	51;	0
6868.100645414622;	172;	407;	0;	1320;	773;	41;	91;	168;	135;	0;	31;	0
6879.770391078036;	172;	407;	0;	1322;	777;	45;	92;	162;	154;	0;	53;	0
6913.309590964886;	172;	408;	0;	1474;	850;	46;	85;	181;	161;	0;	55;	0
6880.721194119758;	172;	408;	0;	1484;	916;	30;	91;	191;	177;	0;	47;	0
6889.764991418972;	172;	407;	0;	1354;	769;	37;	89;	154;	142;	1;	43;	0
6969.680899700611;	172;	408;	0;	1374;	782;	38;	86;	172;	165;	0;	50;	0
6899.210619609996;	172;	408;	0;	1307;	756;	43;	94;	170;	151;	0;	43;	0
6913.041724435773;	171;	407;	0;	1430;	836;	35;	92;	179;	164;	0;	55;	0
6888.073686820072;	171;	408;	0;	1532;	915;	31;	102;	203;	171;	0;	49;	0
7022.003799812112;	172;	408;	0;	1486;	846;	35;	88;	169;	124;	0;	29;	0
6973.604774043408;	170;	404;	0;	1451;	843;	33;	89;	186;	157;	0;	39;	0
6943.616622858033;	169;	407;	0;	1473;	853;	36;	91;	196;	156;	0;	54;	0
6967.208569709821;	172;	408;	0;	1434;	816;	44;	82;	158;	151;	0;	43;	0
6873.010152195814;	172;	406;	0;	1266;	732;	43;	105;	181;	149;	0;	45;	0
6955.028978000984;	172;	408;	0;	1537;	900;	40;	92;	170;	176;	0;	40;	0
6936.926086096404;	172;	408;	0;	1579;	930;	27;	93;	176;	173;	0;	44;	0
6866.816137569554;	172;	408;	0;	1494;	890;	33;	89;	172;	168;	0;	54;	0
6917.939737821425;	170;	407;	0;	1523;	894;	47;	97;	180;	171;	0;	42;	0
6967.2283592903495;	171;	407;	0;	1493;	872;	36;	92;	174;	134;	0;	30;	0
7039.956316338114;	170;	407;	0;	1463;	856;	37;	110;	196;	153;	0;	44;	0
6958.642116186112;	171;	408;	0;	1360;	801;	34;	101;	161;	149;	0;	44;	0
6934.446282845665;	172;	407;	0;	1594;	955;	41;	102;	193;	171;	0;	52;	0
6989.732298098791;	172;	408;	0;	1385;	800;	47;	98;	182;	172;	0;	51;	0
6940.464458598489;	172;	408;	0;	1326;	738;	41;	93;	153;	124;	0;	42;	0
6923.044588237393;	172;	408;	0;	1454;	816;	38;	90;	182;	149;	0;	51;	0
6953.456639763862;	172;	408;	0;	1536;	916;	38;	98;	183;	173;	0;	42;	0
6912.449754930587;	172;	408;	0;	1297;	748;	38;	99;	166;	143;	1;	37;	0
6914.556752064758;	172;	407;	0;	1388;	797;	46;	106;	196;	144;	0;	42;	0
6886.449044312452;	172;	407;	0;	1313;	749;	33;	72;	145;	136;	0;	36;	0
6943.234098630003;	172;	406;	0;	1289;	740;	35;	72;	148;	142;	0;	44;	0
6889.279568031065;	172;	408;	0;	1505;	916;	39;	81;	175;	158;	0;	40;	0
6937.367140205256;	172;	407;	0;	1333;	763;	37;	91;	163;	150;	0;	39;	0
6957.278266318453;	172;	408;	0;	1507;	912;	35;	85;	170;	166;	0;	45;	0
6912.466710105226;	172;	408;	0;	1438;	860;	33;	101;	195;	162;	0;	46;	0
6913.770510799707;	172;	408;	0;	1253;	732;	35;	80;	161;	153;	0;	49;	0
6918.188788284743;	172;	407;	0;	1529;	897;	29;	86;	183;	172;	0;	47;	0
6881.612193147154;	172;	407;	0;	1549;	923;	35;	98;	185;	167;	0;	34;	0
6854.007295778902;	172;	406;	0;	1220;	692;	42;	93;	163;	131;	0;	43;	0
6889.2833162567695;	172;	408;	0;	1570;	890;	34;	85;	176;	149;	0;	42;	0
6886.470152477682;	170;	406;	0;	1290;	747;	32;	88;	160;	149;	0;	37;	0
6949.8264736155625;	172;	406;	0;	1183;	652;	35;	84;	138;	119;	0;	35;	0
6945.681110379509;	172;	408;	0;	1487;	872;	42;	114;	196;	163;	0;	47;	0
6889.118159966787;	172;	407;	0;	1271;	741;	46;	105;	197;	143;	0;	55;	0
7034.926231860091;	172;	408;	0;	1461;	866;	38;	100;	181;	159;	0;	48;	0
6908.483426022583;	172;	407;	0;	1402;	799;	42;	100;	168;	159;	0;	50;	0
6961.643004481333;	172;	408;	0;	1421;	802;	41;	87;	163;	132;	0;	35;	0
6874.674029810734;	172;	406;	0;	1341;	756;	43;	97;	160;	137;	0;	36;	0
6948.66167676729;	172;	407;	0;	1377;	779;	34;	80;	154;	142;	0;	39;	0
6889.099336971596;	170;	407;	0;	1374;	778;	38;	85;	169;	134;	0;	41;	0
6907.953210966723;	172;	407;	0;	1299;	763;	34;	106;	173;	137;	1;	45;	1
6903.101445276264;	170;	403;	0;	1260;	720;	37;	82;	157;	136;	0;	44;	0
6941.764395008711;	172;	408;	0;	1307;	762;	40;	89;	156;	162;	0;	44;	0
6961.872562997469;	172;	408;	0;	1332;	770;	41;	94;	164;	148;	0;	45;	0
6935.788161860267;	170;	404;	0;	1314;	759;	30;	77;	142;	141;	0;	36;	0
6991.800330029993;	172;	408;	0;	1360;	792;	35;	97;	156;	165;	0;	46;	0
6932.521352957723;	168;	406;	0;	1178;	646;	28;	78;	143;	148;	0;	55;	0
6963.8870545247855;	170;	407;	0;	1339;	758;	33;	83;	152;	141;	0;	40;	0
6918.01909527018;	172;	408;	0;	1479;	880;	48;	96;	170;	156;	0;	45;	0
6936.463209178875;	172;	407;	0;	1358;	781;	39;	86;	170;	131;	0;	45;	0
7004.917967861833;	172;	408;	0;	1543;	880;	37;	92;	171;	175;	0;	43;	0
6919.790215975111;	169;	407;	0;	1472;	847;	39;	93;	177;	150;	0;	35;	0
6887.163129080813;	172;	407;	0;	1652;	963;	29;	92;	186;	147;	0;	40;	0
6980.775317823038;	172;	408;	0;	1572;	924;	34;	85;	181;	156;	0;	36;	0
6907.175417885146;	170;	406;	0;	1272;	731;	46;	111;	191;	139;	0;	38;	0
6875.962356949516;	172;	407;	0;	1528;	915;	40;	97;	196;	151;	0;	42;	0
6871.150686897558;	172;	407;	0;	1298;	749;	29;	94;	173;	144;	0;	40;	0
6909.997712481251;	172;	408;	0;	1291;	740;	38;	86;	163;	154;	0;	55;	0
6948.907420966032;	172;	408;	0;	1318;	778;	39;	84;	161;	184;	0;	50;	0
6913.086715342368;	172;	408;	0;	1361;	774;	29;	72;	146;	147;	0;	44;	0
6895.255648792367;	172;	406;	0;	1304;	762;	41;	90;	164;	133;	0;	40;	0
6994.983864641244;	172;	407;	0;	1478;	855;	46;	100;	190;	154;	0;	44;	0
6893.8117740321695;	172;	407;	0;	1373;	787;	40;	95;	168;	143;	0;	47;	0
6899.153665130438;	172;	408;	0;	1284;	752;	44;	89;	164;	141;	0;	41;	0
6960.104848771606;	172;	407;	0;	1313;	759;	43;	86;	157;	151;	0;	34;	0
6973.406348125213;	172;	408;	0;	1306;	752;	38;	90;	163;	142;	0;	59;	0
7005.45114189768;	172;	408;	0;	1322;	728;	28;	89;	160;	125;	0;	37;	0
6934.212551507956;	172;	403;	0;	1121;	637;	52;	93;	146;	136;	0;	49;	0
6949.5542877071775;	172;	408;	0;	1630;	938;	36;	77;	178;	158;	0;	41;	0
6970.411459325371;	170;	407;	0;	1544;	912;	36;	78;	173;	160;	0;	48;	0
7054.5687972789265;	172;	408;	0;	1272;	696;	40;	83;	149;	153;	0;	45;	0
7019.061532310908;	172;	408;	0;	1380;	784;	32;	86;	154;	149;	0;	51;	0
6949.4236903422125;	172;	408;	0;	1637;	998;	40;	101;	199;	186;	0;	39;	0
6959.462307477351;	172;	408;	0;	1478;	858;	30;	74;	165;	164;	0;	49;	0
6916.40399533989;	172;	408;	0;	1544;	908;	27;	78;	180;	174;	0;	46;	0
6940.582294256342;	172;	408;	0;	1319;	766;	42;	90;	169;	142;	0;	48;	0
6999.542626817044;	171;	408;	0;	1401;	799;	34;	75;	154;	142;	0;	46;	0
6885.280346967534;	172;	408;	0;	1369;	802;	41;	102;	179;	128;	0;	40;	0
7047.840230093268;	171;	407;	0;	1600;	968;	35;	85;	190;	190;	0;	58;	0
6903.841443923547;	170;	407;	0;	1518;	894;	29;	99;	201;	151;	0;	45;	0
6871.784735881533;	171;	407;	0;	1397;	816;	38;	88;	162;	144;	0;	45;	0
6913.992568392659;	170;	407;	0;	1388;	786;	48;	96;	171;	128;	0;	44;	0
6932.445299940262;	172;	408;	0;	1337;	768;	37;	84;	155;	143;	0;	43;	0
6968.013202583118;	172;	408;	0;	1586;	942;	31;	93;	189;	164;	0;	41;	0
7002.561655680011;	170;	406;	0;	1394;	775;	40;	75;	154;	119;	0;	31;	0
6986.485841765617;	172;	407;	0;	1280;	747;	34;	86;	172;	160;	0;	57;	0
7043.3759170939065;	170;	406;	0;	1357;	795;	40;	95;	169;	161;	0;	49;	0
6916.555491882179;	172;	406;	0;	1142;	654;	35;	80;	162;	135;	0;	53;	0
6908.647761608001;	172;	408;	0;	1343;	788;	47;	98;	193;	146;	0;	53;	0
6924.601003425693;	171;	407;	0;	1450;	864;	43;	111;	198;	161;	0;	48;	0
6938.689640419202;	168;	403;	0;	1354;	769;	32;	75;	131;	132;	0;	38;	0
6959.055699952411;	172;	406;	0;	1645;	984;	34;	93;	188;	168;	0;	44;	0
6959.561020455696;	172;	406;	0;	1299;	776;	32;	93;	189;	156;	0;	46;	0
6914.269633891006;	170;	407;	0;	1609;	972;	35;	93;	193;	180;	0;	49;	0
6963.677262807275;	172;	406;	0;	1530;	910;	33;	93;	192;	165;	0;	40;	0
6884.4185303466975;	172;	408;	0;	1666;	978;	36;	92;	207;	162;	0;	37;	0
6876.660853694253;	172;	408;	0;	1487;	876;	39;	88;	172;	175;	1;	56;	0
6881.737231833801;	172;	406;	0;	1237;	700;	39;	100;	177;	125;	0;	46;	0
6959.02868926057;	172;	408;	0;	1306;	746;	34;	88;	165;	141;	0;	40;	0
6916.1931748975085;	172;	406;	0;	1370;	820;	31;	90;	177;	138;	0;	42;	0
6901.634323752279;	172;	408;	0;	1378;	792;	41;	92;	170;	159;	0;	50;	0
7012.853411856784;	172;	407;	0;	1523;	881;	34;	85;	180;	148;	0;	50;	0
6901.780884992572;	172;	407;	0;	1290;	751;	34;	86;	155;	134;	0;	40;	0
6877.1950909863435;	172;	407;	0;	1246;	689;	40;	81;	150;	132;	0;	36;	0
6939.952740410357;	170;	405;	0;	1229;	688;	29;	74;	140;	126;	0;	31;	0
6943.234098630003;	172;	406;	0;	1289;	740;	35;	72;	148;	142;	0;	44;	0
6889.279568031065;	172;	408;	0;	1505;	916;	39;	81;	175;	158;	0;	40;	0
6937.367140205256;	172;	407;	0;	1333;	763;	37;	91;	163;	150;	0;	39;	0
6957.278266318453;	172;	408;	0;	1507;	912;	35;	85;	170;	166;	0;	45;	0
6912.466710105226;	172;	408;	0;	1438;	860;	33;	101;	195;	162;	0;	46;	0
6913.770510799707;	172;	408;	0;	1253;	732;	35;	80;	161;	153;	0;	49;	0
6959.752421851499;	172;	408;	0;	1691;	1034;	39;	109;	214;	170;	0;	46;	0
6881.7380273171975;	172;	407;	0;	1235;	721;	44;	96;	169;	131;	0;	44;	0
7009.366908497586;	172;	407;	0;	1462;	859;	38;	90;	160;	165;	0;	50;	0
6895.769655942915;	171;	408;	0;	1333;	719;	32;	73;	160;	135;	0;	46;	0
6915.736489085736;	170;	407;	0;	1385;	788;	41;	96;	184;	154;	0;	49;	0
6954.406945246007;	172;	407;	0;	1434;	823;	35;	89;	161;	140;	0;	40;	0
6910.923429748472;	172;	408;	0;	1229;	708;	38;	90;	160;	136;	1;	41;	0
6973.121336370993;	172;	405;	0;	1226;	697;	38;	75;	135;	139;	0;	51;	0
6943.15276895955;	169;	407;	0;	1645;	967;	39;	95;	187;	175;	0;	51;	0
6958.280271439215;	172;	407;	0;	1373;	799;	36;	86;	176;	161;	0;	44;	0
7000.533605721372;	170;	405;	0;	1278;	714;	36;	79;	150;	149;	0;	57;	0
7000.183477520612;	170;	407;	0;	1253;	728;	43;	83;	156;	151;	0;	45;	0
6964.541573726187;	171;	406;	0;	1167;	673;	39;	79;	148;	134;	0;	47;	0
6971.207561569297;	172;	408;	0;	1604;	938;	36;	90;	173;	165;	0;	53;	0
6928.865728868243;	171;	407;	0;	1163;	644;	39;	83;	148;	136;	0;	45;	0
6863.307327130246;	172;	408;	0;	1599;	940;	38;	95;	187;	151;	0;	47;	0
6912.87894709847;	172;	407;	0;	1383;	829;	32;	85;	173;	135;	0;	43;	0
6902.106866537994;	172;	408;	0;	1432;	808;	39;	92;	173;	142;	0;	30;	0
6893.858554709461;	172;	408;	0;	1290;	766;	45;	83;	160;	158;	0;	52;	0
6972.773872622882;	172;	408;	0;	1482;	862;	36;	99;	188;	147;	0;	35;	0
6999.3310961091665;	170;	407;	0;	1438;	842;	28;	92;	159;	167;	0;	33;	0
6890.980200971459;	172;	408;	0;	1230;	704;	33;	78;	158;	122;	0;	34;	0
6873.328728381915;	172;	407;	0;	1227;	717;	36;	84;	148;	149;	0;	42;	0
7000.901530250996;	172;	408;	0;	1244;	718;	39;	97;	177;	139;	0;	53;	0
6939.21450650243;	171;	408;	0;	1421;	799;	41;	100;	192;	133;	0;	36;	0
6912.658656859006;	172;	408;	0;	1445;	834;	37;	92;	186;	135;	0;	45;	0
6905.219607479779;	172;	405;	0;	1313;	791;	44;	93;	176;	152;	0;	50;	0
6963.203223373033;	170;	407;	0;	1468;	880;	39;	104;	194;	152;	0;	50;	0
6939.314628808611;	168;	405;	0;	1273;	750;	48;	95;	164;	157;	0;	47;	0
6938.32000138849;	172;	408;	0;	1292;	736;	37;	94;	169;	160;	0;	52;	0
6994.743890987156;	170;	406;	0;	1329;	765;	45;	108;	178;	150;	0;	51;	0
6927.962653722659;	172;	408;	0;	1588;	954;	42;	96;	194;	160;	0;	44;	0
6886.971713624195;	172;	407;	0;	1406;	809;	33;	103;	179;	142;	0;	42;	0
6958.053727830545;	168;	404;	0;	1320;	752;	30;	95;	178;	132;	0;	38;	0
6920.315394277734;	172;	408;	0;	1531;	922;	29;	102;	184;	147;	0;	49;	0
6917.5290686543885;	170;	405;	0;	1300;	778;	39;	91;	170;	127;	0;	43;	0
6924.619830655292;	170;	407;	0;	1607;	930;	36;	80;	169;	176;	0;	40;	0
7007.810456760547;	172;	407;	0;	1387;	815;	31;	87;	159;	162;	0;	43;	0
6886.207102094865;	172;	408;	0;	1394;	824;	36;	83;	164;	166;	0;	55;	0
6911.498676008458;	170;	406;	0;	1254;	731;	36;	96;	167;	131;	0;	48;	0
6918.476069052742;	172;	407;	0;	1302;	755;	32;	85;	162;	128;	0;	41;	0
6986.108708969266;	172;	407;	0;	1226;	683;	45;	108;	174;	148;	0;	61;	0
6966.065060633168;	172;	408;	0;	1368;	774;	49;	103;	180;	132;	0;	39;	0
6910.849179966985;	172;	406;	0;	1276;	738;	34;	78;	163;	147;	0;	45;	0
6925.906209593635;	170;	405;	0;	1450;	844;	45;	87;	162;	168;	0;	60;	0
6938.163471729136;	172;	405;	0;	1374;	815;	41;	89;	176;	147;	0;	45;	0
6971.10138638691;	168;	405;	0;	1592;	913;	38;	87;	167;	169;	0;	44;	0
6910.647896380094;	172;	406;	0;	1401;	806;	20;	87;	164;	145;	0;	43;	0
6982.313483618615;	172;	407;	0;	1339;	807;	38;	101;	186;	134;	1;	44;	0
6935.902303077703;	170;	406;	0;	1304;	761;	52;	104;	173;	128;	0;	40;	0
6935.354513815747;	170;	407;	0;	1392;	826;	33;	76;	164;	143;	0;	46;	0
6948.17071291847;	172;	406;	0;	1437;	824;	37;	91;	178;	141;	0;	48;	0
6960.813348890811;	168;	406;	0;	1504;	870;	42;	88;	162;	140;	0;	36;	0
6923.266445290077;	171;	407;	0;	1524;	906;	39;	100;	210;	154;	0;	40;	0
6886.212739093672;	172;	408;	0;	1428;	818;	43;	98;	196;	151;	0;	42;	0
7011.997742433255;	172;	408;	0;	1267;	664;	32;	73;	149;	108;	0;	29;	0
6954.631306444946;	170;	405;	0;	1353;	770;	40;	87;	159;	136;	0;	46;	0
6927.925004734295;	172;	407;	0;	1203;	655;	49;	99;	164;	121;	0;	41;	0
6888.290211250434;	172;	408;	0;	1510;	878;	37;	88;	171;	153;	0;	44;	0
6951.593818154381;	172;	408;	0;	1390;	810;	34;	94;	179;	156;	0;	46;	0
6915.095578009574;	172;	408;	0;	1451;	874;	32;	85;	177;	161;	1;	37;	0
6923.769806560172;	171;	406;	0;	1593;	939;	37;	92;	174;	172;	0;	56;	0
6903.612026567674;	172;	407;	0;	1555;	919;	40;	98;	172;	186;	0;	58;	0
6913.143236829636;	170;	406;	0;	1088;	607;	31;	79;	132;	133;	1;	50;	0
6924.434185389723;	172;	408;	0;	1456;	826;	32;	83;	173;	170;	0;	38;	0
6888.999556146481;	172;	408;	0;	1480;	860;	28;	89;	174;	160;	0;	52;	0
6886.577646001144;	171;	404;	0;	1128;	631;	35;	91;	151;	130;	0;	42;	0
6972.230561742799;	172;	407;	0;	1518;	885;	38;	96;	174;	168;	0;	40;	0
6918.289037813326;	172;	408;	0;	1594;	908;	42;	97;	178;	162;	0;	39;	0
6953.118338509736;	172;	407;	0;	1318;	763;	30;	73;	145;	148;	0;	42;	0
6910.813445692251;	171;	408;	0;	1587;	915;	32;	89;	177;	180;	0;	45;	0
6901.095796663879;	172;	406;	0;	1497;	874;	36;	92;	174;	146;	0;	39;	0
6935.807709456393;	172;	408;	0;	1468;	878;	33;	88;	171;	145;	0;	57;	0
6936.731270392432;	172;	407;	0;	1455;	869;	43;	102;	207;	153;	0;	48;	0
6922.2084306898005;	172;	405;	0;	1292;	739;	29;	76;	147;	140;	0;	38;	0
7050.4445519127685;	172;	408;	0;	1536;	888;	31;	84;	169;	155;	0;	39;	0
6920.505130184433;	171;	408;	0;	1585;	935;	42;	93;	180;	146;	0;	40;	0
6954.8382778082305;	172;	406;	0;	1223;	706;	37;	86;	159;	130;	0;	38;	0
6926.440802113133;	171;	407;	0;	1270;	712;	33;	81;	158;	123;	1;	33;	1
7019.475326227294;	171;	408;	0;	1300;	749;	44;	93;	163;	140;	0;	47;	0
6942.002783730014;	172;	408;	0;	1332;	750;	42;	90;	174;	136;	0;	57;	0
6983.1332285650005;	170;	406;	0;	1295;	741;	36;	82;	170;	129;	0;	50;	0
6938.861035750148;	172;	408;	0;	1338;	788;	30;	87;	166;	137;	0;	48;	0
6956.718279296844;	172;	407;	0;	1492;	861;	34;	84;	172;	154;	0;	47;	0
6927.482783848357;	172;	408;	0;	1651;	982;	38;	104;	199;	170;	0;	38;	0
6930.446559080161;	170;	405;	0;	1313;	760;	44;	97;	174;	143;	0;	44;	0
6945.92661694411;	172;	405;	0;	1186;	675;	35;	85;	167;	139;	0;	50;	0
6883.135146666025;	172;	407;	0;	1239;	687;	35;	94;	176;	132;	0;	39;	0
6963.949119009181;	172;	406;	0;	1310;	732;	41;	97;	168;	132;	0;	48;	0
6907.573167509445;	170;	407;	0;	1310;	748;	44;	92;	166;	125;	0;	32;	0
6937.73405628491;	172;	407;	0;	1721;	1017;	34;	99;	198;	168;	0;	40;	0
6917.155773345525;	172;	408;	0;	1349;	802;	42;	93;	175;	156;	0;	52;	0
6942.667483563349;	171;	406;	0;	1479;	875;	47;	106;	187;	160;	0;	37;	0
6943.5625296976505;	172;	406;	0;	1254;	732;	39;	83;	146;	136;	0;	32;	0
6916.5880176796345;	172;	407;	0;	1347;	773;	48;	94;	163;	144;	0;	47;	0
6930.3183351468915;	172;	407;	0;	1264;	717;	34;	82;	148;	128;	0;	31;	0
6992.966460922629;	172;	408;	0;	1573;	908;	37;	88;	171;	171;	0;	57;	0
6989.843646198667;	172;	407;	0;	1156;	667;	33;	87;	150;	124;	0;	40;	0
7010.1719002308255;	172;	408;	0;	1588;	922;	46;	95;	181;	166;	0;	33;	0
6964.112236181532;	172;	405;	0;	1463;	867;	31;	90;	181;	147;	0;	36;	0
6895.340670716759;	172;	407;	0;	1486;	885;	39;	91;	175;	157;	0;	44;	0
6921.25421561474;	170;	407;	0;	1391;	798;	40;	105;	190;	141;	0;	35;	0
6885.454392557766;	172;	402;	0;	1244;	730;	45;	103;	183;	116;	0;	43;	0
6920.922325534959;	172;	407;	0;	1384;	817;	42;	107;	185;	141;	0;	41;	0
6954.337258959051;	172;	407;	0;	1295;	763;	34;	104;	187;	141;	0;	45;	0
6929.397185661051;	172;	406;	0;	1401;	816;	53;	96;	163;	151;	0;	38;	0
6884.206300358804;	172;	408;	0;	1467;	874;	46;	108;	197;	140;	0;	42;	0
6943.209324581819;	172;	407;	0;	1248;	729;	44;	95;	165;	146;	0;	47;	0
6922.151725639967;	172;	408;	0;	1553;	932;	37;	92;	173;	179;	0;	45;	0
6883.267885305188;	172;	406;	0;	1219;	700;	45;	96;	168;	107;	0;	36;	0
6887.709039093483;	172;	407;	0;	1262;	735;	62;	112;	188;	121;	0;	39;	0
6911.347532443848;	172;	408;	0;	1530;	920;	38;	96;	196;	177;	0;	50;	0
6924.916324249329;	172;	408;	0;	1320;	756;	42;	91;	181;	125;	0;	38;	0
6936.995273746951;	172;	408;	0;	1406;	824;	40;	103;	180;	172;	0;	67;	0
6917.025851057753;	172;	408;	0;	1464;	840;	45;	94;	188;	141;	1;	47;	0
6881.144751402179;	172;	407;	0;	1264;	731;	42;	109;	168;	151;	0;	48;	0
6901.779599723316;	172;	405;	0;	1422;	811;	39;	78;	152;	140;	0;	38;	0
6907.00333957192;	169;	407;	0;	1151;	635;	32;	73;	140;	112;	0;	43;	0
6916.049184622914;	172;	406;	0;	1228;	706;	33;	91;	161;	155;	0;	44;	0
6936.590321300832;	172;	406;	0;	1256;	718;	44;	96;	163;	141;	0;	51;	0
6951.015597723881;	172;	408;	0;	1649;	948;	36;	96;	199;	144;	0;	47;	0
6962.153443963751;	170;	405;	0;	1243;	726;	41;	79;	157;	141;	0;	47;	0
6917.504447688036;	172;	407;	0;	1243;	683;	40;	88;	147;	130;	1;	34;	0
6880.34622833546;	171;	407;	0;	1466;	872;	38;	102;	182;	147;	0;	44;	0
6927.588142747627;	170;	403;	0;	1196;	682;	42;	90;	163;	143;	1;	45;	1
6917.596816623873;	172;	406;	0;	1278;	736;	40;	90;	169;	135;	0;	48;	0
6982.890192952724;	172;	406;	0;	1194;	718;	40;	93;	160;	140;	0;	41;	0
6884.0783725571855;	172;	408;	0;	1387;	820;	44;	93;	174;	145;	0;	41;	0
6919.459430410502;	172;	408;	0;	1590;	954;	46;	104;	188;	173;	0;	46;	0
6949.350383441333;	171;	406;	0;	1311;	743;	30;	82;	148;	131;	0;	34;	0
6936.72399842449;	170;	406;	0;	1592;	917;	37;	86;	170;	158;	0;	44;	0
6919.096179417986;	172;	403;	0;	1272;	725;	41;	96;	162;	127;	0;	45;	0
6964.706734456445;	172;	407;	0;	1382;	823;	42;	93;	187;	156;	0;	46;	0
6902.903327321628;	172;	403;	0;	1177;	647;	32;	84;	148;	133;	0;	47;	0
6910.664101592447;	172;	405;	0;	1326;	769;	41;	93;	169;	163;	0;	51;	0
6912.597862786823;	168;	405;	0;	1540;	887;	38;	87;	178;	142;	0;	32;	0
6910.246294387323;	171;	407;	0;	1414;	820;	39;	99;	189;	163;	0;	60;	0
6904.703095257181;	172;	407;	0;	1309;	777;	42;	97;	160;	145;	0;	47;	0
6946.549134955868;	170;	406;	0;	1547;	905;	32;	88;	194;	146;	0;	38;	0
7025.295653894719;	171;	408;	0;	1555;	931;	27;	88;	170;	162;	0;	38;	0
6865.069580440622;	171;	408;	0;	1359;	801;	35;	98;	183;	137;	0;	56;	0
6970.369242903168;	172;	406;	0;	1552;	926;	42;	88;	170;	166;	0;	57;	0
6914.0260042074115;	172;	405;	0;	1493;	907;	29;	96;	185;	180;	1;	60;	0
6991.88189739515;	172;	408;	0;	1355;	788;	47;	105;	172;	159;	0;	55;	0
6911.01656697192;	172;	407;	0;	1421;	821;	33;	76;	174;	137;	0;	54;	0
6927.340072805806;	172;	407;	0;	1268;	701;	43;	84;	159;	113;	0;	36;	0
7008.0138888789525;	172;	408;	0;	1674;	988;	25;	77;	175;	184;	0;	41;	0
6912.423968294425;	168;	407;	0;	1639;	972;	45;	102;	200;	167;	0;	43;	0
6938.142553231062;	172;	406;	0;	1432;	862;	46;	92;	170;	160;	0;	45;	0
6928.256526870568;	172;	407;	0;	1288;	727;	41;	77;	166;	142;	0;	46;	0
6954.772758382365;	171;	407;	0;	1498;	858;	29;	86;	171;	164;	0;	45;	0
7060.247309270606;	171;	408;	0;	1324;	775;	43;	85;	169;	153;	0;	47;	0
6880.27651206545;	172;	408;	0;	1287;	746;	45;	90;	155;	152;	0;	44;	0
6894.9475065261895;	172;	407;	0;	1295;	755;	44;	87;	163;	142;	0;	49;	0
6943.030517358551;	172;	407;	0;	1305;	721;	41;	86;	151;	137;	0;	42;	0
6952.742429298507;	168;	406;	0;	1436;	828;	46;	98;	181;	172;	1;	55;	1
6954.144680125602;	171;	408;	0;	1376;	795;	36;	88;	179;	147;	0;	38;	0
6939.835843498531;	172;	408;	0;	1521;	874;	39;	95;	181;	171;	0;	49;	0
6902.780865743263;	172;	407;	0;	1595;	935;	32;	91;	200;	158;	0;	50;	0
6927.113177060291;	172;	408;	0;	1419;	828;	43;	111;	190;	127;	0;	39;	0
6905.886026851883;	172;	408;	0;	1587;	960;	43;	109;	211;	134;	1;	38;	0
6985.98938905718;	171;	408;	0;	1535;	911;	31;	90;	179;	183;	0;	49;	0
