# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=14628
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	5.263613314678235;	0.9844900129519633;
-2212;	0.938;	-1;	4.411725701482811;	0.9781359321492313;
-2212;	0.938;	-1;	6.439209370398977;	0.9895560401027371;
-2212;	0.938;	-1;	2.162426013739661;	0.9174087208537018;
-2212;	0.938;	-1;	4.123847649283372;	0.9750939079567548;
-2212;	0.938;	-1;	19.93733566981694;	0.9988951045117695;
-2212;	0.938;	-1;	0.440990449359167;	0.4254642221206918;
-2212;	0.938;	-1;	10.598822332985584;	0.9961066950735313;
-2212;	0.938;	-1;	1.5581333091956542;	0.8567351459712254;
-2212;	0.938;	-1;	7.842344144947543;	0.9929229143805981;
-2212;	0.938;	-1;	8.461949833304498;	0.993912277502712;
-2212;	0.938;	-1;	1.4678402883709796;	0.8426407397865405;
-2212;	0.938;	-1;	3.107386869092099;	0.9573344490087573;
-2212;	0.938;	-1;	10.109866319198192;	0.9957234655890506;
-2212;	0.938;	-1;	8.01608408788537;	0.9932232887081572;
-2212;	0.938;	-1;	2.773000320314127;	0.9472734198212162;
-2212;	0.938;	-1;	4.002711366274116;	0.9736236313577417;
-2212;	0.938;	-1;	25.731438043844477;	0.9993362340159;
-2212;	0.938;	-1;	10.641393180197834;	0.9961376031857018;
-2212;	0.938;	-1;	14.091054144349883;	0.9977917496326686;
-2212;	0.938;	-1;	17.56892541332625;	0.9985778086308569;
-2212;	0.938;	-1;	23.865198199355582;	0.9992284878523111;
-2212;	0.938;	-1;	9.766292309608435;	0.9954193802928228;
-2212;	0.938;	-1;	1.3450005571690296;	0.8202335346247503;
-2212;	0.938;	-1;	4.11587914813907;	0.97500096597849;
-2212;	0.938;	-1;	5.185918534264205;	0.9840329495515735;
-2212;	0.938;	-1;	2.0437844040139788;	0.9088515541929054;
-2212;	0.938;	-1;	9.888983767404385;	0.9955315816449516;
-2212;	0.938;	-1;	3.822112121616659;	0.9711813954414875;
-2212;	0.938;	-1;	2.0880748367424475;	0.9121883862703728;
-2212;	0.938;	-1;	25.083720634214135;	0.9993015479693602;
-2212;	0.938;	-1;	7.731067784666229;	0.9927199569127672;
-2212;	0.938;	-1;	14.85368674214146;	0.9980120264260637;
-2212;	0.938;	-1;	2.651336833690695;	0.9427407595494054;
-2212;	0.938;	-1;	10.563463439583298;	0.9960807407548739;
-2212;	0.938;	-1;	13.705012239067063;	0.9976660351560083;
-2212;	0.938;	-1;	12.331406703248417;	0.9971194807089167;
-2212;	0.938;	-1;	6.316615609376987;	0.9891533465934439;
-2212;	0.938;	-1;	3.4881550988602843;	0.9656934622151357;
-2212;	0.938;	-1;	2.176955228364837;	0.9183766411524992;
-2212;	0.938;	-1;	9.005778570189612;	0.9946195689359318;
-2212;	0.938;	-1;	11.91033019140649;	0.996913164010033;
-2212;	0.938;	-1;	7.5000779796887445;	0.9922698917617103;
-2212;	0.938;	-1;	4.013367310351745;	0.9737580521557905;
-2212;	0.938;	-1;	29.885000336485945;	0.9995077922877579;
-2212;	0.938;	-1;	4.6977401393808496;	0.9806427701858228;
-2212;	0.938;	-1;	3.693362667412938;	0.9692305731327201;
-2212;	0.938;	-1;	4.510113752286521;	0.9790500170540376;
-2212;	0.938;	-1;	4.383194735384911;	0.9778597858469512;
-2212;	0.938;	-1;	14.504186534331113;	0.9979153686796887;
-2212;	0.938;	-1;	9.458432287938846;	0.9951185561291453;
-2212;	0.938;	-1;	12.935005878540952;	0.997381010905166;
-2212;	0.938;	-1;	12.756185969192192;	0.997307367130186;
-2212;	0.938;	-1;	3.505821107130324;	0.9660209581677375;
-2212;	0.938;	-1;	4.508363406458047;	0.9790342545910021;
-2212;	0.938;	-1;	10.813177380390142;	0.9962586664164804;
-2212;	0.938;	-1;	18.255828660254483;	0.9986826119569128;
-2212;	0.938;	-1;	1.422817879313442;	0.8348951961430898;
-2212;	0.938;	-1;	3.55676385453828;	0.9669399490282377;
-2212;	0.938;	-1;	2.3736519969869216;	0.9300170481539378;
-2212;	0.938;	-1;	2.046357669729561;	0.9090503406482264;
-2212;	0.938;	-1;	8.625614804445883;	0.9941390985698727;
-2212;	0.938;	-1;	28.01387668461393;	0.9994399016861306;
-2212;	0.938;	-1;	5.979449382339899;	0.9879183335878793;
-2212;	0.938;	-1;	7.952756251994713;	0.9931160493573707;
-2212;	0.938;	-1;	1.5961061368019984;	0.8621432796142189;
