# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=168568267
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
1.1813697374436616;	1.1901206243876887;	124212
1.1901206243876887;	1.1988715113317159;	122368
1.1988715113317159;	1.207622398275743;	120679
1.207622398275743;	1.2163732852197702;	118591
1.2163732852197702;	1.2251241721637973;	117233
1.2251241721637973;	1.2338750591078245;	115717
1.2338750591078245;	1.2426259460518514;	113176
1.2426259460518514;	1.2513768329958785;	112453
1.2513768329958785;	1.2601277199399057;	110174
1.2601277199399057;	1.2688786068839328;	108747
1.2688786068839328;	1.27762949382796;	107152
1.27762949382796;	1.2863803807719871;	105695
1.2863803807719871;	1.2951312677160143;	103955
1.2951312677160143;	1.3038821546600414;	102329
1.3038821546600414;	1.3126330416040686;	101202
1.3126330416040686;	1.3213839285480955;	99370
1.3213839285480955;	1.3301348154921226;	97591
1.3301348154921226;	1.3388857024361498;	96034
1.3388857024361498;	1.347636589380177;	95395
1.347636589380177;	1.356387476324204;	94536
1.356387476324204;	1.3651383632682312;	92737
1.3651383632682312;	1.3738892502122584;	91415
1.3738892502122584;	1.3826401371562855;	90210
1.3826401371562855;	1.3913910241003127;	89613
1.3913910241003127;	1.4001419110443396;	88176
1.4001419110443396;	1.4088927979883668;	86401
1.4088927979883668;	1.417643684932394;	85525
1.417643684932394;	1.426394571876421;	84401
1.426394571876421;	1.4351454588204482;	82545
1.4351454588204482;	1.4438963457644753;	82233
1.4438963457644753;	1.4526472327085025;	80556
1.4526472327085025;	1.4613981196525296;	79880
1.4613981196525296;	1.4701490065965568;	78639
1.4701490065965568;	1.478899893540584;	77075
1.478899893540584;	1.4876507804846109;	76790
1.4876507804846109;	1.496401667428638;	75797
1.496401667428638;	1.5051525543726652;	74661
1.5051525543726652;	1.5139034413166923;	73487
1.5139034413166923;	1.5226543282607194;	72968
1.5226543282607194;	1.5314052152047466;	71242
1.5314052152047466;	1.5401561021487737;	70524
1.5401561021487737;	1.548906989092801;	69714
1.548906989092801;	1.557657876036828;	69052
1.557657876036828;	1.566408762980855;	68398
1.566408762980855;	1.575159649924882;	67415
1.575159649924882;	1.5839105368689093;	66772
1.5839105368689093;	1.5926614238129364;	65819
1.5926614238129364;	1.6014123107569636;	64718
1.6014123107569636;	1.6101631977009907;	63797
1.6101631977009907;	1.6189140846450178;	63470
1.6189140846450178;	1.627664971589045;	62209
1.627664971589045;	1.6364158585330721;	61321
1.6364158585330721;	1.645166745477099;	61252
1.645166745477099;	1.6539176324211262;	60443
1.6539176324211262;	1.6626685193651534;	59255
1.6626685193651534;	1.6714194063091805;	58488
1.6714194063091805;	1.6801702932532077;	57853
1.6801702932532077;	1.6889211801972348;	57333
1.6889211801972348;	1.697672067141262;	56452
1.697672067141262;	1.706422954085289;	55687
1.706422954085289;	1.7151738410293162;	55048
1.7151738410293162;	1.7239247279733432;	54753
1.7239247279733432;	1.7326756149173703;	53889
1.7326756149173703;	1.7414265018613975;	53240
1.7414265018613975;	1.7501773888054246;	52175
1.7501773888054246;	1.7589282757494518;	51962
1.7589282757494518;	1.767679162693479;	51396
1.767679162693479;	1.776430049637506;	50409
1.776430049637506;	1.7851809365815332;	50014
1.7851809365815332;	1.7939318235255604;	49228
1.7939318235255604;	1.8026827104695873;	49143
1.8026827104695873;	1.8114335974136144;	48107
1.8114335974136144;	1.8201844843576416;	48052
1.8201844843576416;	1.8289353713016687;	47197
1.8289353713016687;	1.8376862582456959;	46797
1.8376862582456959;	1.846437145189723;	46222
1.846437145189723;	1.8551880321337502;	45581
1.8551880321337502;	1.8639389190777773;	45218
1.8639389190777773;	1.8726898060218045;	44552
1.8726898060218045;	1.8814406929658314;	44176
1.8814406929658314;	1.8901915799098585;	43556
1.8901915799098585;	1.8989424668538857;	43010
1.8989424668538857;	1.9076933537979128;	42504
1.9076933537979128;	1.91644424074194;	41971
1.91644424074194;	1.9251951276859671;	41496
1.9251951276859671;	1.9339460146299943;	40911
1.9339460146299943;	1.9426969015740214;	40650
1.9426969015740214;	1.9514477885180486;	39858
1.9514477885180486;	1.9601986754620757;	39574
1.9601986754620757;	1.9689495624061026;	38780
1.9689495624061026;	1.9777004493501298;	38549
1.9777004493501298;	1.986451336294157;	38456
1.986451336294157;	1.995202223238184;	37572
1.995202223238184;	2.003953110182211;	37408
2.003953110182211;	2.012703997126238;	36863
2.012703997126238;	2.0214548840702653;	36396
2.0214548840702653;	2.0302057710142924;	35831
2.0302057710142924;	2.0389566579583196;	35585
2.0389566579583196;	2.0477075449023467;	35158
2.0477075449023467;	2.056458431846374;	34624
2.056458431846374;	2.065209318790401;	34045
2.065209318790401;	2.073960205734428;	34030
