# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=163565326
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
1.1813697374436616;	1.1901206243876887;	124311
1.1901206243876887;	1.1988715113317159;	122701
1.1988715113317159;	1.207622398275743;	121006
1.207622398275743;	1.2163732852197702;	118838
1.2163732852197702;	1.2251241721637973;	116656
1.2251241721637973;	1.2338750591078245;	115571
1.2338750591078245;	1.2426259460518514;	113649
1.2426259460518514;	1.2513768329958785;	112168
1.2513768329958785;	1.2601277199399057;	111201
1.2601277199399057;	1.2688786068839328;	109714
1.2688786068839328;	1.27762949382796;	107649
1.27762949382796;	1.2863803807719871;	106353
1.2863803807719871;	1.2951312677160143;	104388
1.2951312677160143;	1.3038821546600414;	103077
1.3038821546600414;	1.3126330416040686;	101948
1.3126330416040686;	1.3213839285480955;	100822
1.3213839285480955;	1.3301348154921226;	99691
1.3301348154921226;	1.3388857024361498;	98172
1.3388857024361498;	1.347636589380177;	97160
1.347636589380177;	1.356387476324204;	96130
1.356387476324204;	1.3651383632682312;	94414
1.3651383632682312;	1.3738892502122584;	92870
1.3738892502122584;	1.3826401371562855;	91867
1.3826401371562855;	1.3913910241003127;	91342
1.3913910241003127;	1.4001419110443396;	90305
1.4001419110443396;	1.4088927979883668;	89401
1.4088927979883668;	1.417643684932394;	87772
1.417643684932394;	1.426394571876421;	87260
1.426394571876421;	1.4351454588204482;	85952
1.4351454588204482;	1.4438963457644753;	84603
1.4438963457644753;	1.4526472327085025;	84234
1.4526472327085025;	1.4613981196525296;	82212
1.4613981196525296;	1.4701490065965568;	81965
1.4701490065965568;	1.478899893540584;	80948
1.478899893540584;	1.4876507804846109;	80166
1.4876507804846109;	1.496401667428638;	79066
1.496401667428638;	1.5051525543726652;	78905
1.5051525543726652;	1.5139034413166923;	77798
1.5139034413166923;	1.5226543282607194;	77079
1.5226543282607194;	1.5314052152047466;	76440
1.5314052152047466;	1.5401561021487737;	76197
1.5401561021487737;	1.548906989092801;	75457
1.548906989092801;	1.557657876036828;	75565
1.557657876036828;	1.566408762980855;	75163
1.566408762980855;	1.575159649924882;	75398
1.575159649924882;	1.5839105368689093;	77066
1.5839105368689093;	1.5926614238129364;	73181
1.5926614238129364;	1.6014123107569636;	71353
1.6014123107569636;	1.6101631977009907;	70506
1.6101631977009907;	1.6189140846450178;	69158
1.6189140846450178;	1.627664971589045;	68191
1.627664971589045;	1.6364158585330721;	66702
