# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=46939
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	3.1414109164911874;	0.9581968228081276;
-2212;	0.938;	-1;	1.321787537773753;	0.815519598744227;
-2212;	0.938;	-1;	23.42575614809957;	0.9991993059605925;
-2212;	0.938;	-1;	1.1472246837376714;	0.7741683854410167;
-2212;	0.938;	-1;	21.306764334055792;	0.9990323685733877;
-2212;	0.938;	-1;	10.805271347620291;	0.9962532202164979;
-2212;	0.938;	-1;	24.50977951946243;	0.9992684902271395;
-2212;	0.938;	-1;	26.658622183282993;	0.9993815604450645;
-2212;	0.938;	-1;	24.784411778742946;	0.9992845946072902;
-2212;	0.938;	-1;	13.574971778157995;	0.9976212650735662;
-2212;	0.938;	-1;	6.03123953962268;	0.988121266375912;
-2212;	0.938;	-1;	13.752354944281107;	0.9976820211866745;
-2212;	0.938;	-1;	12.816503463119767;	0.9973325507470402;
-2212;	0.938;	-1;	6.291850824664949;	0.9890691911487094;
-2212;	0.938;	-1;	2.8449540487909464;	0.9497115511129208;
-2212;	0.938;	-1;	12.89056756895095;	0.9973629941173734;
-2212;	0.938;	-1;	21.171720408340217;	0.9990200033187931;
-2212;	0.938;	-1;	15.691975233697237;	0.998218201834749;
-2212;	0.938;	-1;	5.867055999270868;	0.9874597647957405;
-2212;	0.938;	-1;	2.398946730405867;	0.9313373773007022;
-2212;	0.938;	-1;	3.6502525933258716;	0.9685336460887709;
-2212;	0.938;	-1;	6.540579535807587;	0.9898724028372685;
-2212;	0.938;	-1;	9.631380309765834;	0.9952910664000157;
-2212;	0.938;	-1;	4.929324609125473;	0.9823722136604063;
-2212;	0.938;	-1;	1.5016773022963357;	0.8481374586303224;
-2212;	0.938;	-1;	3.1451015948875165;	0.9582888252889394;
-2212;	0.938;	-1;	4.198440291810043;	0.9759396487747081;
-2212;	0.938;	-1;	7.664225648467365;	0.9925938334363817;
-2212;	0.938;	-1;	7.257323587845591;	0.9917505938829833;
-2212;	0.938;	-1;	27.304988090516353;	0.9994104678147285;
-2212;	0.938;	-1;	17.36864072825658;	0.9985448917810651;
-2212;	0.938;	-1;	7.116368796878504;	0.9914247966710394;
-2212;	0.938;	-1;	12.062168635238692;	0.9969900406798611;
-2212;	0.938;	-1;	7.221711916384135;	0.9916700506836655;
-2212;	0.938;	-1;	5.775672864301526;	0.9870675262426027;
-2212;	0.938;	-1;	7.961631034248699;	0.9931312301284466;
-2212;	0.938;	-1;	25.852702158702286;	0.9993424401781473;
-2212;	0.938;	-1;	4.044667753017546;	0.9741470840225259;
-2212;	0.938;	-1;	7.337345426611671;	0.991927389330393;
-2212;	0.938;	-1;	6.36094295561853;	0.9893015846222578;
-2212;	0.938;	-1;	15.93516855475587;	0.9982720325722066;
-2212;	0.938;	-1;	4.037958957572546;	0.9740644228481659;
-2212;	0.938;	-1;	8.545438745923466;	0.9940295925039299;
-2212;	0.938;	-1;	1.8113342684695168;	0.8879968894291721;
-2212;	0.938;	-1;	1.529066660016495;	0.8523950116195771;
-2212;	0.938;	-1;	2.4430971316738512;	0.9335570447402041;
-2212;	0.938;	-1;	1.573982417873516;	0.8590275410458762;
-2212;	0.938;	-1;	9.24955256609794;	0.9948972982145425;
-2212;	0.938;	-1;	0.8341060516127431;	0.6645099205087868;
-2212;	0.938;	-1;	4.463959915631304;	0.9786284257881804;
-2212;	0.938;	-1;	6.047951031193456;	0.988185664354353;
-2212;	0.938;	-1;	4.92721141815368;	0.9823574878245941;
-2212;	0.938;	-1;	15.610664618135964;	0.9981996421659671;
-2212;	0.938;	-1;	2.8158925943514412;	0.9487470451617516;
-2212;	0.938;	-1;	6.4437186777408275;	0.9895704245280141;
-2212;	0.938;	-1;	11.831622725328085;	0.9968721514372575;
-2212;	0.938;	-1;	6.325495973426668;	0.9891832884411895;
-2212;	0.938;	-1;	7.91029478915824;	0.9930427181946163;
-2212;	0.938;	-1;	9.839552963355969;	0.9954868772687667;
-2212;	0.938;	-1;	3.2298290932239744;	0.9603217280920581;
-2212;	0.938;	-1;	4.313706228040482;	0.9771651817289035;
-2212;	0.938;	-1;	4.965016863276297;	0.9826182003269122;
-2212;	0.938;	-1;	18.185762106192442;	0.998672461315228;
-2212;	0.938;	-1;	5.617303057801671;	0.9863431125430151;
-2212;	0.938;	-1;	9.64592074156677;	0.9953051526149213;
-2212;	0.938;	-1;	6.399049646674497;	0.989426616807549;
-2212;	0.938;	-1;	2.6112709683918287;	0.9411235148915245;
-2212;	0.938;	-1;	16.68758226808689;	0.9984239818571814;
-2212;	0.938;	-1;	10.78801611448393;	0.9962412923665869;
-2212;	0.938;	-1;	2.5365363562235808;	0.9379242174536149;
-2212;	0.938;	-1;	12.18835255734363;	0.9970517673378145;
-2212;	0.938;	-1;	6.081253738728552;	0.9883124540607645;
-2212;	0.938;	-1;	9.997212487804838;	0.9956271769202768;
-2212;	0.938;	-1;	7.087787666931128;	0.9913563950150311;
-2212;	0.938;	-1;	1.91648684008996;	0.8981899387726626;
-2212;	0.938;	-1;	6.540279499737989;	0.9898714876765251;
-2212;	0.938;	-1;	10.3712755051508;	0.9959350336703157;
-2212;	0.938;	-1;	8.210514630514606;	0.9935373750330616;
-2212;	0.938;	-1;	12.264717284336562;	0.9970882069464805;
-2212;	0.938;	-1;	7.208721452100643;	0.9916403774403132;
-2212;	0.938;	-1;	8.352506427928445;	0.9937531982772289;
-2212;	0.938;	-1;	1.4589019083427952;	0.8411432026886491;
-2212;	0.938;	-1;	6.8754125393422765;	0.9908216050091921;
-2212;	0.938;	-1;	4.720241609140892;	0.9808216203178611;
-2212;	0.938;	-1;	0.9062092679221505;	0.6948143520508712;
-2212;	0.938;	-1;	8.303385620149168;	0.993679771831108;
-2212;	0.938;	-1;	4.604054807357315;	0.9798708461553403;
-2212;	0.938;	-1;	17.516219722217237;	0.9985692554933171;
-2212;	0.938;	-1;	7.117011124055448;	0.9914263246176248;
-2212;	0.938;	-1;	5.894539183775522;	0.9875742640176407;
-2212;	0.938;	-1;	19.08217928389779;	0.9987940381472566;
-2212;	0.938;	-1;	15.899880090080302;	0.998264373879301;
-2212;	0.938;	-1;	2.105130900425197;	0.9134268625889972;
-2212;	0.938;	-1;	0.9148459680721996;	0.6982159281435932;
-2212;	0.938;	-1;	7.934681111854086;	0.9930849754029223;
-2212;	0.938;	-1;	4.884842215862004;	0.9820583353013624;
-2212;	0.938;	-1;	14.08337431613422;	0.997789348589061;
-2212;	0.938;	-1;	5.522258925462025;	0.9858789636954817;
-2212;	0.938;	-1;	15.799402272037065;	0.9982422862757921;
-2212;	0.938;	-1;	5.0243724495803095;	0.9830161143690402;
-2212;	0.938;	-1;	8.994169567619872;	0.9946057829084333;
-2212;	0.938;	-1;	14.41545250721253;	0.9978897073113556;
-2212;	0.938;	-1;	22.149952667433762;	0.99910453950502;
-2212;	0.938;	-1;	12.3085746382164;	0.9971088305736479;
-2212;	0.938;	-1;	3.8593772523574317;	0.9717119612893144;
-2212;	0.938;	-1;	2.018468566733701;	0.9068623835032159;
-2212;	0.938;	-1;	5.088394924218268;	0.9834303135302578;
-2212;	0.938;	-1;	10.652836813961809;	0.9961458490738573;
-2212;	0.938;	-1;	17.611957745468416;	0.9985847352591792;
-2212;	0.938;	-1;	6.2524909043170815;	0.9889334206579881;
-2212;	0.938;	-1;	16.362471048707345;	0.9983608862645971;
-2212;	0.938;	-1;	1.53663702374621;	0.8535427061543729;
-2212;	0.938;	-1;	18.60150469110295;	0.9987310273709251;
-2212;	0.938;	-1;	13.780771984422039;	0.9976915379982612;
-2212;	0.938;	-1;	3.368241898345337;	0.9633423675561739;
-2212;	0.938;	-1;	9.210153604235328;	0.9948538855567225;
-2212;	0.938;	-1;	9.26752798578936;	0.99491692302985;
-2212;	0.938;	-1;	8.436339925651408;	0.993875600187401;
-2212;	0.938;	-1;	17.540215352592597;	0.9985731590644906;
-2212;	0.938;	-1;	3.5540694902573304;	0.9668922667513672;
-2212;	0.938;	-1;	1.2440854145764428;	0.7984768022398524;
-2212;	0.938;	-1;	7.340508727321561;	0.991934261480527;
-2212;	0.938;	-1;	6.229728887504255;	0.9888537529184064;
-2212;	0.938;	-1;	7.410664547390672;	0.9920844534195382;
-2212;	0.938;	-1;	4.2950952779347;	0.976973660710904;
-2212;	0.938;	-1;	2.756113899200104;	0.9466762608904493;
-2212;	0.938;	-1;	1.7431364072866615;	0.8806001062996942;
-2212;	0.938;	-1;	1.6041936044966643;	0.8632584008868152;
-2212;	0.938;	-1;	3.4267469446594685;	0.9645181410126261;
-2212;	0.938;	-1;	1.6879974486820175;	0.8741081074667729;
-2212;	0.938;	-1;	1.367440946950178;	0.8246370892735668;
-2212;	0.938;	-1;	2.595422291559699;	0.9404654103409257;
-2212;	0.938;	-1;	2.4670015728939045;	0.9347157012172563;
-2212;	0.938;	-1;	9.774728509954892;	0.9954272294744935;
-2212;	0.938;	-1;	22.813592201516467;	0.9991558140421576;
-2212;	0.938;	-1;	3.618452320159131;	0.9680045188071297;
-2212;	0.938;	-1;	1.024392162391923;	0.7375220303390152;
-2212;	0.938;	-1;	3.6418889387311086;	0.9683957414098664;
-2212;	0.938;	-1;	8.223244433241458;	0.9935571753764375;
-2212;	0.938;	-1;	9.195065550923278;	0.9948371139991495;
-2212;	0.938;	-1;	4.068726887734222;	0.9744403388577465;
-2212;	0.938;	-1;	6.437018177115861;	0.9895490396355923;
-2212;	0.938;	-1;	4.825635964230208;	0.9816275115162906;
-2212;	0.938;	-1;	11.761428780454079;	0.9968348826988739;
-2212;	0.938;	-1;	1.4343780544228917;	0.836932884643578;
-2212;	0.938;	-1;	10.368840418142437;	0.9959331357918042;
-2212;	0.938;	-1;	4.8854895849911495;	0.982062962675799;
-2212;	0.938;	-1;	5.31532090053959;	0.9847834892503824;
-2212;	0.938;	-1;	5.104251825333072;	0.9835305792213832;
-2212;	0.938;	-1;	9.71576590294198;	0.9953719448847927;
-2212;	0.938;	-1;	8.149885570070602;	0.9934418105256146;
-2212;	0.938;	-1;	4.764216349152729;	0.9811641337477902;
-2212;	0.938;	-1;	6.205800009269393;	0.9887690752584779;
-2212;	0.938;	-1;	2.918142612747533;	0.9520261291854507;
-2212;	0.938;	-1;	9.23085865394419;	0.9948767684877672;
-2212;	0.938;	-1;	13.521290185671079;	0.9976024077046941;
-2212;	0.938;	-1;	6.632687723926855;	0.990147619422301;
-2212;	0.938;	-1;	11.413448721233253;	0.9966399270618851;
-2212;	0.938;	-1;	22.518985985638185;	0.9991336101975556;
-2212;	0.938;	-1;	11.094913839518007;	0.9964452644614449;
-2212;	0.938;	-1;	2.2564201913688415;	0.9233926253748446;
-2212;	0.938;	-1;	2.817708970055105;	0.9488081163393031;
-2212;	0.938;	-1;	8.874670982080987;	0.9944607501543187;
-2212;	0.938;	-1;	6.885450252794657;	0.9908479803251175;
-2212;	0.938;	-1;	20.70440377403602;	0.9989753340270446;
-2212;	0.938;	-1;	6.284567984412453;	0.989044257297463;
-2212;	0.938;	-1;	11.813463445412145;	0.9968625732300517;
