# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=63769026
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
1.1988715113317159;	1.207622398275743;	77162
1.207622398275743;	1.2163732852197702;	75138
1.2163732852197702;	1.2251241721637973;	74476
1.2251241721637973;	1.2338750591078245;	73621
1.2338750591078245;	1.2426259460518514;	72494
1.2426259460518514;	1.2513768329958785;	71528
1.2513768329958785;	1.2601277199399057;	70800
1.2601277199399057;	1.2688786068839328;	69571
1.2688786068839328;	1.27762949382796;	68165
1.27762949382796;	1.2863803807719871;	67803
1.2863803807719871;	1.2951312677160143;	66905
1.2951312677160143;	1.3038821546600414;	65555
1.3038821546600414;	1.3126330416040686;	65212
1.3126330416040686;	1.3213839285480955;	63686
1.3213839285480955;	1.3301348154921226;	63200
1.3301348154921226;	1.3388857024361498;	62404
1.3388857024361498;	1.347636589380177;	61693
1.347636589380177;	1.356387476324204;	60869
1.356387476324204;	1.3651383632682312;	59937
1.3651383632682312;	1.3738892502122584;	58955
1.3738892502122584;	1.3826401371562855;	57997
1.3826401371562855;	1.3913910241003127;	58081
1.3913910241003127;	1.4001419110443396;	57266
1.4001419110443396;	1.4088927979883668;	56536
1.4088927979883668;	1.417643684932394;	55109
1.417643684932394;	1.426394571876421;	55203
1.426394571876421;	1.4351454588204482;	54238
1.4351454588204482;	1.4438963457644753;	53099
1.4438963457644753;	1.4526472327085025;	53070
1.4526472327085025;	1.4613981196525296;	52943
1.4613981196525296;	1.4701490065965568;	52028
1.4701490065965568;	1.478899893540584;	51489
1.478899893540584;	1.4876507804846109;	50172
1.4876507804846109;	1.496401667428638;	50240
1.496401667428638;	1.5051525543726652;	49712
1.5051525543726652;	1.5139034413166923;	49259
1.5139034413166923;	1.5226543282607194;	48354
1.5226543282607194;	1.5314052152047466;	48634
1.5314052152047466;	1.5401561021487737;	48099
1.5401561021487737;	1.548906989092801;	47775
1.548906989092801;	1.557657876036828;	46939
1.557657876036828;	1.566408762980855;	46808
1.566408762980855;	1.575159649924882;	46988
1.575159649924882;	1.5839105368689093;	48442
1.5839105368689093;	1.5926614238129364;	46154
1.5926614238129364;	1.6014123107569636;	44542
1.6014123107569636;	1.6101631977009907;	43851
1.6101631977009907;	1.6189140846450178;	43685
1.6189140846450178;	1.627664971589045;	42997
1.627664971589045;	1.6364158585330721;	42039
1.6364158585330721;	1.645166745477099;	41301
1.645166745477099;	1.6539176324211262;	40709
1.6539176324211262;	1.6626685193651534;	40148
1.6626685193651534;	1.6714194063091805;	39682
1.6714194063091805;	1.6801702932532077;	38963
1.6801702932532077;	1.6889211801972348;	38645
1.6889211801972348;	1.697672067141262;	38207
1.697672067141262;	1.706422954085289;	37539
1.706422954085289;	1.7151738410293162;	36990
1.7151738410293162;	1.7239247279733432;	36412
1.7239247279733432;	1.7326756149173703;	36096
1.7326756149173703;	1.7414265018613975;	35753
1.7414265018613975;	1.7501773888054246;	35191
1.7501773888054246;	1.7589282757494518;	34820
1.7589282757494518;	1.767679162693479;	34510
1.767679162693479;	1.776430049637506;	34374
1.776430049637506;	1.7851809365815332;	33497
1.7851809365815332;	1.7939318235255604;	33412
1.7939318235255604;	1.8026827104695873;	32965
1.8026827104695873;	1.8114335974136144;	32618
1.8114335974136144;	1.8201844843576416;	31966
1.8201844843576416;	1.8289353713016687;	31925
1.8289353713016687;	1.8376862582456959;	31115
1.8376862582456959;	1.846437145189723;	30606
1.846437145189723;	1.8551880321337502;	30328
1.8551880321337502;	1.8639389190777773;	30172
1.8639389190777773;	1.8726898060218045;	29990
1.8726898060218045;	1.8814406929658314;	29237
1.8814406929658314;	1.8901915799098585;	29252
1.8901915799098585;	1.8989424668538857;	29038
1.8989424668538857;	1.9076933537979128;	28160
1.9076933537979128;	1.91644424074194;	28098
1.91644424074194;	1.9251951276859671;	27891
1.9251951276859671;	1.9339460146299943;	27383
1.9339460146299943;	1.9426969015740214;	27018
1.9426969015740214;	1.9514477885180486;	26953
1.9514477885180486;	1.9601986754620757;	26142
1.9601986754620757;	1.9689495624061026;	26154
1.9689495624061026;	1.9777004493501298;	25781
1.9777004493501298;	1.986451336294157;	25581
1.986451336294157;	1.995202223238184;	25276
1.995202223238184;	2.003953110182211;	25167
2.003953110182211;	2.012703997126238;	24487
2.012703997126238;	2.0214548840702653;	24522
2.0214548840702653;	2.0302057710142924;	24016
2.0302057710142924;	2.0389566579583196;	23806
2.0389566579583196;	2.0477075449023467;	23497
2.0477075449023467;	2.056458431846374;	23218
2.056458431846374;	2.065209318790401;	22930
2.065209318790401;	2.073960205734428;	22717
2.073960205734428;	2.0827110926784553;	22559
2.0827110926784553;	2.0914619796224825;	22522
2.0914619796224825;	2.1002128665665096;	21788
2.1002128665665096;	2.1089637535105368;	21904
2.1089637535105368;	2.117714640454564;	21611
2.117714640454564;	2.126465527398591;	21144
2.126465527398591;	2.135216414342618;	20935
2.135216414342618;	2.1439673012866454;	20652
2.1439673012866454;	2.1527181882306725;	20197
2.1527181882306725;	2.161469075174699;	20359
2.161469075174699;	2.1702199621187264;	20148
2.1702199621187264;	2.1789708490627535;	19670
2.1789708490627535;	2.1877217360067807;	19416
2.1877217360067807;	2.196472622950808;	19095
2.196472622950808;	2.205223509894835;	19017
2.205223509894835;	2.213974396838862;	18685
2.213974396838862;	2.2227252837828892;	18586
2.2227252837828892;	2.2314761707269164;	18386
2.2314761707269164;	2.2402270576709435;	18297
2.2402270576709435;	2.2489779446149707;	17996
2.2489779446149707;	2.257728831558998;	17645
