# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=63691355
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
1.1988715113317159;	1.207622398275743;	72345
1.207622398275743;	1.2163732852197702;	70822
1.2163732852197702;	1.2251241721637973;	69248
1.2251241721637973;	1.2338750591078245;	68536
1.2338750591078245;	1.2426259460518514;	67524
1.2426259460518514;	1.2513768329958785;	66504
1.2513768329958785;	1.2601277199399057;	65685
1.2601277199399057;	1.2688786068839328;	64634
1.2688786068839328;	1.27762949382796;	63455
1.27762949382796;	1.2863803807719871;	62601
1.2863803807719871;	1.2951312677160143;	61853
1.2951312677160143;	1.3038821546600414;	60739
1.3038821546600414;	1.3126330416040686;	59613
1.3126330416040686;	1.3213839285480955;	59232
1.3213839285480955;	1.3301348154921226;	58229
1.3301348154921226;	1.3388857024361498;	57028
1.3388857024361498;	1.347636589380177;	56459
1.347636589380177;	1.356387476324204;	55496
1.356387476324204;	1.3651383632682312;	54621
1.3651383632682312;	1.3738892502122584;	54043
1.3738892502122584;	1.3826401371562855;	53370
1.3826401371562855;	1.3913910241003127;	52395
1.3913910241003127;	1.4001419110443396;	51550
1.4001419110443396;	1.4088927979883668;	51406
1.4088927979883668;	1.417643684932394;	50532
1.417643684932394;	1.426394571876421;	49577
1.426394571876421;	1.4351454588204482;	48713
1.4351454588204482;	1.4438963457644753;	48979
1.4438963457644753;	1.4526472327085025;	47826
1.4526472327085025;	1.4613981196525296;	47078
1.4613981196525296;	1.4701490065965568;	45909
1.4701490065965568;	1.478899893540584;	45018
1.478899893540584;	1.4876507804846109;	45221
1.4876507804846109;	1.496401667428638;	43813
1.496401667428638;	1.5051525543726652;	43774
1.5051525543726652;	1.5139034413166923;	42885
1.5139034413166923;	1.5226543282607194;	42650
1.5226543282607194;	1.5314052152047466;	42066
1.5314052152047466;	1.5401561021487737;	41311
1.5401561021487737;	1.548906989092801;	40683
1.548906989092801;	1.557657876036828;	40458
1.557657876036828;	1.566408762980855;	39571
1.566408762980855;	1.575159649924882;	39162
1.575159649924882;	1.5839105368689093;	39213
1.5839105368689093;	1.5926614238129364;	38729
1.5926614238129364;	1.6014123107569636;	37745
1.6014123107569636;	1.6101631977009907;	37698
1.6101631977009907;	1.6189140846450178;	36877
1.6189140846450178;	1.627664971589045;	36523
1.627664971589045;	1.6364158585330721;	35554
1.6364158585330721;	1.645166745477099;	35340
1.645166745477099;	1.6539176324211262;	35379
1.6539176324211262;	1.6626685193651534;	34333
1.6626685193651534;	1.6714194063091805;	34345
1.6714194063091805;	1.6801702932532077;	33205
1.6801702932532077;	1.6889211801972348;	33730
1.6889211801972348;	1.697672067141262;	32775
1.697672067141262;	1.706422954085289;	32738
1.706422954085289;	1.7151738410293162;	32294
1.7151738410293162;	1.7239247279733432;	31804
1.7239247279733432;	1.7326756149173703;	31691
1.7326756149173703;	1.7414265018613975;	31074
1.7414265018613975;	1.7501773888054246;	30935
1.7501773888054246;	1.7589282757494518;	30101
1.7589282757494518;	1.767679162693479;	29685
1.767679162693479;	1.776430049637506;	29460
1.776430049637506;	1.7851809365815332;	29082
1.7851809365815332;	1.7939318235255604;	28589
1.7939318235255604;	1.8026827104695873;	28459
1.8026827104695873;	1.8114335974136144;	28064
1.8114335974136144;	1.8201844843576416;	27527
1.8201844843576416;	1.8289353713016687;	27472
1.8289353713016687;	1.8376862582456959;	26675
1.8376862582456959;	1.846437145189723;	26795
1.846437145189723;	1.8551880321337502;	26423
