# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=427
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	7.016967905154592;	0.9911833532063296;
-2212;	0.938;	-1;	3.2886496212051837;	0.9616485301720429;
-2212;	0.938;	-1;	1.8565124343308341;	0.892545553417488;
-2212;	0.938;	-1;	2.126619196388954;	0.91495185569571;
-2212;	0.938;	-1;	0.4466458450248922;	0.42991724311312485;
-2212;	0.938;	-1;	4.581792590865392;	0.9796806982400975;
-2212;	0.938;	-1;	4.198885717325014;	0.975944570528519;
-2212;	0.938;	-1;	1.2027855601581687;	0.7885572228991735;
-2212;	0.938;	-1;	2.8631592782199524;	0.9503023002896877;
-2212;	0.938;	-1;	1.7369250987837672;	0.8798925950796309;
-2212;	0.938;	-1;	4.484491927753801;	0.978817515268622;
-2212;	0.938;	-1;	1.4969592851928204;	0.8473870326470699;
-2212;	0.938;	-1;	2.0746705754485455;	0.9111972044809649;
-2212;	0.938;	-1;	0.9245028739003465;	0.7019641106330224;
-2212;	0.938;	-1;	1.080783581640654;	0.7552320752095867;
-2212;	0.938;	-1;	7.713405914094305;	0.9926869448431902;
-2212;	0.938;	-1;	4.267496361398449;	0.9766852328337952;
-2212;	0.938;	-1;	0.7212585870934224;	0.6095621481310003;
-2212;	0.938;	-1;	4.402437554879796;	0.9780465973721334;
-2212;	0.938;	-1;	1.1506243130705174;	0.775085116285881;
-2212;	0.938;	-1;	3.8425817628807843;	0.9714746369014875;
-2212;	0.938;	-1;	1.8502461090530633;	0.8919304187367411;
-2212;	0.938;	-1;	1.2224202708843632;	0.793352106733518;
-2212;	0.938;	-1;	1.8641912288845264;	0.893292609705483;
-2212;	0.938;	-1;	0.44027853184664817;	0.42490145688956454;
-2212;	0.938;	-1;	7.153134861398113;	0.9915116043892411;
-2212;	0.938;	-1;	3.3945241027143997;	0.9638775492630404;
-2212;	0.938;	-1;	6.091160401607563;	0.9883497791513298;
-2212;	0.938;	-1;	3.6783545442701686;	0.9689905574499721;
-2212;	0.938;	-1;	4.856679817095626;	0.9818553010651523;
-2212;	0.938;	-1;	8.113852923674486;	0.9933840109914438;
-2212;	0.938;	-1;	2.211030188983407;	0.9205836990757313;
-2212;	0.938;	-1;	3.702471816203771;	0.9693749147441182;
-2212;	0.938;	-1;	1.3834611895882731;	0.8276917662810643;
-2212;	0.938;	-1;	6.533176697896679;	0.9898497868370886;
-2212;	0.938;	-1;	3.946660626698095;	0.9728995116932735;
-2212;	0.938;	-1;	2.446229862852017;	0.9337105776944822;
-2212;	0.938;	-1;	1.7876769160127899;	0.8855060040141313;
-2212;	0.938;	-1;	4.053667785108938;	0.9742573650596652;
-2212;	0.938;	-1;	3.702471816203771;	0.9693749147441182;
-2212;	0.938;	-1;	2.1716059356248314;	0.9180221808598248;
-2212;	0.938;	-1;	0.59502428185243;	0.5356672278328465;
-2212;	0.938;	-1;	2.698129552754278;	0.9445489073192801;
-2212;	0.938;	-1;	1.6471337347611943;	0.8689738101826243;
-2212;	0.938;	-1;	2.824673491405511;	0.9490412988368081;
-2212;	0.938;	-1;	3.246625657705705;	0.9607074033610689;
-2212;	0.938;	-1;	6.363250426489987;	0.9893092182728551;
-2212;	0.938;	-1;	3.1186649277113756;	0.9576231725318874;
-2212;	0.938;	-1;	4.894839139850286;	0.9821295956550486;
-2212;	0.938;	-1;	4.86691040396094;	0.9819294506784184;
-2212;	0.938;	-1;	5.257931357799663;	0.9844572511632138;
-2212;	0.938;	-1;	0.5739958438796922;	0.5219621205582351;
-2212;	0.938;	-1;	5.779025750953961;	0.9870822388296339;
-2212;	0.938;	-1;	1.4562837607471972;	0.8407008598901256;
-2212;	0.938;	-1;	5.286260396162206;	0.9846195785782387;
-2212;	0.938;	-1;	2.6160996977214;	0.9413219217001643;
-2212;	0.938;	-1;	3.586457095291954;	0.9674587896517998;
-2212;	0.938;	-1;	2.4102037262905807;	0.9319134027908088;
-2212;	0.938;	-1;	3.7007652330322176;	0.9693479488136191;
-2212;	0.938;	-1;	2.1491434955814372;	0.9165093728818576;
-2212;	0.938;	-1;	0.9374677923363555;	0.7069060947070398;
-2212;	0.938;	-1;	3.8709897395493056;	0.9718743455881348;
-2212;	0.938;	-1;	3.8269922189688343;	0.9712517093068201;
-2212;	0.938;	-1;	5.273724380604091;	0.9845480590543014;
-2212;	0.938;	-1;	3.0061923445323657;	0.9546096287283486;
-2212;	0.938;	-1;	3.6705231777583522;	0.9688642162996227;
-2212;	0.938;	-1;	5.624915849207346;	0.9863793028135946;
-2212;	0.938;	-1;	3.702471816203771;	0.9693749147441182;
-2212;	0.938;	-1;	2.1716059356248314;	0.9180221808598248;
-2212;	0.938;	-1;	0.59502428185243;	0.5356672278328465;
-2212;	0.938;	-1;	2.908331009256684;	0.9517249941605083;
-2212;	0.938;	-1;	4.310411269504686;	0.9771314465350006;
-2212;	0.938;	-1;	3.6695799716622886;	0.9688489485766731;
-2212;	0.938;	-1;	3.5957920511912254;	0.9676194222109584;
-2212;	0.938;	-1;	2.9743050863393554;	0.9536980784276321;
-2212;	0.938;	-1;	0.3834081199244481;	0.37836302900062657;
-2212;	0.938;	-1;	3.702471816203771;	0.9693749147441182;
-2212;	0.938;	-1;	2.1716059356248314;	0.9180221808598248;
-2212;	0.938;	-1;	0.59502428185243;	0.5356672278328465;
-2212;	0.938;	-1;	1.1233625200944708;	0.767594324973454;
-2212;	0.938;	-1;	2.4882681992255176;	0.9357220485313801;
-2212;	0.938;	-1;	3.702471816203771;	0.9693749147441182;
-2212;	0.938;	-1;	1.98504914575685;	0.9041403390795097;
-2212;	0.938;	-1;	7.752257921161035;	0.9927592706519183;
-2212;	0.938;	-1;	5.663562473275989;	0.9865608388838066;
-2212;	0.938;	-1;	1.1280059329427305;	0.7688929783481621;
-2212;	0.938;	-1;	2.0759979636550705;	0.911296070571579;
-2212;	0.938;	-1;	1.1618074245682888;	0.7780665163343523;
-2212;	0.938;	-1;	7.045167379362253;	0.991252870689169;
-2212;	0.938;	-1;	1.8898836584628693;	0.895739392646806;
-2212;	0.938;	-1;	4.048535201801387;	0.9741945589697446;
-2212;	0.938;	-1;	4.710543183328224;	0.9807448358432072;
