# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=49248
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	1.9103366906783736;	0.8976307388547978;
-2212;	0.938;	-1;	1.0768699289663537;	0.7540534942197712;
-2212;	0.938;	-1;	0.6126443702007635;	0.546834541061729;
-2212;	0.938;	-1;	0.6106340003177025;	0.5455748523875904;
-2212;	0.938;	-1;	1.4807653727468102;	0.8447721565366675;
-2212;	0.938;	-1;	3.2691963130047728;	0.9612170410158112;
-2212;	0.938;	-1;	1.5964514987089335;	0.8621911567747167;
-2212;	0.938;	-1;	2.049871413164738;	0.9093207808244769;
-2212;	0.938;	-1;	1.637643818980489;	0.8677397352576677;
-2212;	0.938;	-1;	1.2524118755209885;	0.8004013439703586;
-2212;	0.938;	-1;	0.7126837096370311;	0.6049776425956657;
-2212;	0.938;	-1;	1.4126959126103538;	0.8330823708681567;
-2212;	0.938;	-1;	0.178128593621918;	0.1865682435211935;
-2212;	0.938;	-1;	2.2348977241227392;	0.9220788598431914;
-2212;	0.938;	-1;	1.2581856415056563;	0.8017214992338049;
-2212;	0.938;	-1;	1.25099338887142;	0.800075217804844;
-2212;	0.938;	-1;	0.9792107268233943;	0.7221393356957072;
-2212;	0.938;	-1;	0.6591606617031996;	0.5749604222096922;
-2212;	0.938;	-1;	0.940953107049974;	0.7082172498187033;
-2212;	0.938;	-1;	1.7308999552016284;	0.8792006516188267;
-2212;	0.938;	-1;	1.1188383437092242;	0.7663198603451047;
-2212;	0.938;	-1;	1.4347231770764561;	0.8369931892326042;
-2212;	0.938;	-1;	1.4977073089445747;	0.8475063497864893;
-2212;	0.938;	-1;	1.0404690919628512;	0.7427338385334584;
-2212;	0.938;	-1;	0.41308299537367793;	0.4030353139535069;
-2212;	0.938;	-1;	1.9906781668921274;	0.9046067019561502;
-2212;	0.938;	-1;	0.7844188291799221;	0.6415117646412537;
-2212;	0.938;	-1;	1.5470791790014369;	0.8551056375582631;
-2212;	0.938;	-1;	0.8972811157541432;	0.6912482819807519;
-2212;	0.938;	-1;	1.6054825081904225;	0.8634349592535148;
-2212;	0.938;	-1;	0.92241985933359;	0.7011605079892883;
-2212;	0.938;	-1;	1.4151667866113873;	0.833527395128009;
-2212;	0.938;	-1;	1.0173591236815052;	0.7351997723451251;
-2212;	0.938;	-1;	0.7359231797606324;	0.6172629545397922;
-2212;	0.938;	-1;	1.119182136367179;	0.7664170260374408;
-2212;	0.938;	-1;	0.8228519797132471;	0.6594581823997925;
-2212;	0.938;	-1;	1.25465410652538;	0.8009154125829282;
-2212;	0.938;	-1;	1.5685375165288238;	0.8582457651907658;
-2212;	0.938;	-1;	1.3520572411790739;	0.8216342679452758;
-2212;	0.938;	-1;	2.3966512179706085;	0.9312190498409336;
-2212;	0.938;	-1;	2.051276136903318;	0.9094285759374371;
-2212;	0.938;	-1;	1.6620426430600388;	0.8708803544904529;
-2212;	0.938;	-1;	0.8965314414525571;	0.6909465266134832;
-2212;	0.938;	-1;	0.9153334326124005;	0.6984065202095;
-2212;	0.938;	-1;	1.1459753538894282;	0.7738302669491032;
-2212;	0.938;	-1;	1.9186345507808413;	0.8983841971704851;
-2212;	0.938;	-1;	0.9385712567786209;	0.7073220024519945;
-2212;	0.938;	-1;	1.642540563849794;	0.8683785252699243;
-2212;	0.938;	-1;	1.0258762991901118;	0.7380087653780324;
-2212;	0.938;	-1;	2.178832720920539;	0.9185005277197532;
-2212;	0.938;	-1;	4.417786500525914;	0.9781939353677545;
-2212;	0.938;	-1;	1.2171727498613334;	0.7920848689044298;
-2212;	0.938;	-1;	1.5307917152545605;	0.8526576258971671;
-2212;	0.938;	-1;	1.3417148341714196;	0.8195762503913478;
-2212;	0.938;	-1;	0.9017844151119546;	0.6930533422075564;
-2212;	0.938;	-1;	1.4394114454751985;	0.837809376436799;
-2212;	0.938;	-1;	0.9736511318752727;	0.7201686665546916;
-2212;	0.938;	-1;	0.8580307141483922;	0.6749537254264385;
-2212;	0.938;	-1;	1.2796175644406418;	0.8065210640327539;
-2212;	0.938;	-1;	0.7344390559075817;	0.6164915368606394;
-2212;	0.938;	-1;	1.9189914190764377;	0.8984164245790587;
-2212;	0.938;	-1;	1.071702400260912;	0.7524860779333142;
-2212;	0.938;	-1;	0.8781587022264256;	0.683437163222099;
-2212;	0.938;	-1;	1.586782330382463;	0.8608419530753039;
-2212;	0.938;	-1;	1.4384772988910879;	0.8376471960563925;
-2212;	0.938;	-1;	0.9841540594535999;	0.7238769216525475;
-2212;	0.938;	-1;	2.6949172488965223;	0.9444274567361048;
-2212;	0.938;	-1;	1.2715158759754073;	0.8047251930441432;
-2212;	0.938;	-1;	2.0998785642034163;	0.9130481586761295;
-2212;	0.938;	-1;	2.094429240548074;	0.9126527395270901;
-2212;	0.938;	-1;	3.1205001916455637;	0.9576698847560777;
-2212;	0.938;	-1;	1.2727207000603078;	0.8049936700603557;
-2212;	0.938;	-1;	0.6664854607311401;	0.5792139331691823;
-2212;	0.938;	-1;	0.9874009533902629;	0.7250107650308841;
-2212;	0.938;	-1;	1.1408436832070203;	0.7724344634770305;
-2212;	0.938;	-1;	1.7995609829136106;	0.8867669344818977;
-2212;	0.938;	-1;	0.5232068316000853;	0.4871332564614739;
-2212;	0.938;	-1;	0.563745035751092;	0.515130570802914;
-2212;	0.938;	-1;	0.7392057839316465;	0.6189628817636236;
-2212;	0.938;	-1;	1.0233026162504424;	0.7371639714142436;
-2212;	0.938;	-1;	1.5391241147513086;	0.8539170679367798;
-2212;	0.938;	-1;	1.3984532494649222;	0.8304852821248214;
-2212;	0.938;	-1;	2.334089621630177;	0.9278772472117163;
-2212;	0.938;	-1;	0.941639129494548;	0.7084744678220565;
-2212;	0.938;	-1;	1.1955732438646325;	0.7867589818053502;
-2212;	0.938;	-1;	3.0722451225909695;	0.9564160634853874;
-2212;	0.938;	-1;	1.635130316782427;	0.867410164763844;
-2212;	0.938;	-1;	1.080266178705045;	0.7550766800364689;
-2212;	0.938;	-1;	1.3954796903792617;	0.8299361331433234;
-2212;	0.938;	-1;	0.9022621771424091;	0.6932440828994901;
-2212;	0.938;	-1;	1.0658563000278227;	0.7506972896707801;
