# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=164407828
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
1.1988715113317159;	1.207622398275743;	373640
1.207622398275743;	1.2163732852197702;	372154
1.2163732852197702;	1.2251241721637973;	370962
1.2251241721637973;	1.2338750591078245;	369456
1.2338750591078245;	1.2426259460518514;	368600
1.2426259460518514;	1.2513768329958785;	369220
1.2513768329958785;	1.2601277199399057;	367822
1.2601277199399057;	1.2688786068839328;	367153
1.2688786068839328;	1.27762949382796;	366070
1.27762949382796;	1.2863803807719871;	364028
1.2863803807719871;	1.2951312677160143;	365695
1.2951312677160143;	1.3038821546600414;	362936
1.3038821546600414;	1.3126330416040686;	363339
1.3126330416040686;	1.3213839285480955;	363943
1.3213839285480955;	1.3301348154921226;	362341
1.3301348154921226;	1.3388857024361498;	360978
1.3388857024361498;	1.347636589380177;	360577
1.347636589380177;	1.356387476324204;	359368
1.356387476324204;	1.3651383632682312;	358995
1.3651383632682312;	1.3738892502122584;	359223
1.3738892502122584;	1.3826401371562855;	358240
1.3826401371562855;	1.3913910241003127;	358910
1.3913910241003127;	1.4001419110443396;	358366
1.4001419110443396;	1.4088927979883668;	356256
1.4088927979883668;	1.417643684932394;	356914
1.417643684932394;	1.426394571876421;	357140
1.426394571876421;	1.4351454588204482;	355761
1.4351454588204482;	1.4438963457644753;	355547
1.4438963457644753;	1.4526472327085025;	355288
1.4526472327085025;	1.4613981196525296;	356732
1.4613981196525296;	1.4701490065965568;	354832
1.4701490065965568;	1.478899893540584;	353436
1.478899893540584;	1.4876507804846109;	355070
1.4876507804846109;	1.496401667428638;	354917
1.496401667428638;	1.5051525543726652;	353103
1.5051525543726652;	1.5139034413166923;	353780
1.5139034413166923;	1.5226543282607194;	352891
1.5226543282607194;	1.5314052152047466;	353491
1.5314052152047466;	1.5401561021487737;	354563
1.5401561021487737;	1.548906989092801;	352949
1.548906989092801;	1.557657876036828;	352395
1.557657876036828;	1.566408762980855;	353251
1.566408762980855;	1.575159649924882;	351844
1.575159649924882;	1.5839105368689093;	353407
1.5839105368689093;	1.5926614238129364;	353269
1.5926614238129364;	1.6014123107569636;	352977
1.6014123107569636;	1.6101631977009907;	352755
1.6101631977009907;	1.6189140846450178;	353914
1.6189140846450178;	1.627664971589045;	352129
1.627664971589045;	1.6364158585330721;	353690
