# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=49078
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	1.123487207373097;	0.7676293211578923;
-2212;	0.938;	-1;	1.5879156438706057;	0.8610010380760615;
-2212;	0.938;	-1;	0.8718077589228028;	0.6807897438727931;
-2212;	0.938;	-1;	0.7083346461842736;	0.6026291787391064;
-2212;	0.938;	-1;	0.8070113114678132;	0.6521931713662951;
-2212;	0.938;	-1;	1.098784841148166;	0.7605600790751396;
-2212;	0.938;	-1;	2.097666110762387;	0.9128879261113075;
-2212;	0.938;	-1;	2.86167879525568;	0.9502546393958193;
-2212;	0.938;	-1;	0.8010294971803472;	0.6494020209774441;
-2212;	0.938;	-1;	2.3038343769681013;	0.9261765043432594;
-2212;	0.938;	-1;	1.0296035322443293;	0.7392260817530014;
-2212;	0.938;	-1;	0.7483919424554556;	0.623674136564345;
-2212;	0.938;	-1;	0.5299229764894989;	0.4918807195161617;
-2212;	0.938;	-1;	2.060183899692297;	0.9101078927293109;
-2212;	0.938;	-1;	1.3686676343795086;	0.824873575116327;
-2212;	0.938;	-1;	1.0816835693861167;	0.7555020716105753;
-2212;	0.938;	-1;	1.045844254591476;	0.7444468271685007;
-2212;	0.938;	-1;	2.0341686006762076;	0.9081032095973006;
-2212;	0.938;	-1;	1.536529180526683;	0.8535264434144019;
-2212;	0.938;	-1;	2.2805786534382015;	0.9248296216334216;
-2212;	0.938;	-1;	1.1419130417523045;	0.772726254054676;
-2212;	0.938;	-1;	0.8053888850244955;	0.6514387435261194;
-2212;	0.938;	-1;	0.8531026547837546;	0.6728348744182856;
-2212;	0.938;	-1;	1.2713776919940039;	0.8046943692100744;
-2212;	0.938;	-1;	0.8643131002339371;	0.6776308724179696;
-2212;	0.938;	-1;	1.3941459870468695;	0.8296890419090087;
-2212;	0.938;	-1;	1.0018816066606873;	0.7299965757480239;
-2212;	0.938;	-1;	0.724694826529685;	0.611382338958599;
-2212;	0.938;	-1;	1.126569614441114;	0.7684922865152976;
-2212;	0.938;	-1;	1.6707656296413957;	0.8719779231949595;
-2212;	0.938;	-1;	2.3970128184263015;	0.931237708931218;
-2212;	0.938;	-1;	1.5062188060321782;	0.848855018981122;
-2212;	0.938;	-1;	1.0955957769880276;	0.7596271989382917;
-2212;	0.938;	-1;	1.853131049461964;	0.8922142363787737;
-2212;	0.938;	-1;	1.1127601251869155;	0.7645932640696735;
-2212;	0.938;	-1;	1.1894498017272523;	0.7852163381589677;
-2212;	0.938;	-1;	1.5297875819632607;	0.8525048399138103;
-2212;	0.938;	-1;	0.8971937512761667;	0.6912131350437769;
-2212;	0.938;	-1;	1.1622010950235764;	0.7781705209501095;
-2212;	0.938;	-1;	2.9107476875088754;	0.9517994223274259;
-2212;	0.938;	-1;	1.2257220317041708;	0.794144208264406;
-2212;	0.938;	-1;	1.4621194923247554;	0.841684519218044;
-2212;	0.938;	-1;	2.0010226481496907;	0.9054553477770881;
-2212;	0.938;	-1;	0.7864556957000184;	0.6424904476039499;
-2212;	0.938;	-1;	1.0737509608275098;	0.7531089838259362;
-2212;	0.938;	-1;	2.516490603067097;	0.9370231570077552;
-2212;	0.938;	-1;	1.8370412139030114;	0.8906177528865142;
-2212;	0.938;	-1;	0.8980045636398515;	0.6915391383584564;
-2212;	0.938;	-1;	3.4135212257492995;	0.9642572532056292;
-2212;	0.938;	-1;	2.2214093788041973;	0.921238921454946;
-2212;	0.938;	-1;	1.2238390417767362;	0.7936929686709661;
-2212;	0.938;	-1;	1.2829267566533173;	0.8072482393623208;
-2212;	0.938;	-1;	1.3251605278493621;	0.8162148378130253;
-2212;	0.938;	-1;	0.7902570117971494;	0.6443085461126614;
-2212;	0.938;	-1;	0.9480465347866632;	0.7108632907694886;
-2212;	0.938;	-1;	1.2854838618205209;	0.8078076417475446;
-2212;	0.938;	-1;	0.7263673366899148;	0.6122647799336902;
-2212;	0.938;	-1;	1.3863540351944736;	0.8282356465188583;
-2212;	0.938;	-1;	1.3384885660479136;	0.8189276959016905;
