# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=159774877
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
1.1988715113317159;	1.207622398275743;	356700
1.207622398275743;	1.2163732852197702;	355420
1.2163732852197702;	1.2251241721637973;	355203
1.2251241721637973;	1.2338750591078245;	355297
1.2338750591078245;	1.2426259460518514;	353968
1.2426259460518514;	1.2513768329958785;	352640
1.2513768329958785;	1.2601277199399057;	351670
1.2601277199399057;	1.2688786068839328;	351753
1.2688786068839328;	1.27762949382796;	350242
1.27762949382796;	1.2863803807719871;	350495
1.2863803807719871;	1.2951312677160143;	348940
1.2951312677160143;	1.3038821546600414;	348162
1.3038821546600414;	1.3126330416040686;	347856
1.3126330416040686;	1.3213839285480955;	345639
1.3213839285480955;	1.3301348154921226;	346557
1.3301348154921226;	1.3388857024361498;	345735
1.3388857024361498;	1.347636589380177;	344112
1.347636589380177;	1.356387476324204;	344520
1.356387476324204;	1.3651383632682312;	344087
1.3651383632682312;	1.3738892502122584;	343340
1.3738892502122584;	1.3826401371562855;	343027
1.3826401371562855;	1.3913910241003127;	341565
1.3913910241003127;	1.4001419110443396;	342412
1.4001419110443396;	1.4088927979883668;	341827
1.4088927979883668;	1.417643684932394;	341136
1.417643684932394;	1.426394571876421;	339812
1.426394571876421;	1.4351454588204482;	340947
1.4351454588204482;	1.4438963457644753;	341176
1.4438963457644753;	1.4526472327085025;	340069
1.4526472327085025;	1.4613981196525296;	338375
1.4613981196525296;	1.4701490065965568;	339038
1.4701490065965568;	1.478899893540584;	338800
1.478899893540584;	1.4876507804846109;	339601
1.4876507804846109;	1.496401667428638;	337651
1.496401667428638;	1.5051525543726652;	338994
1.5051525543726652;	1.5139034413166923;	338140
1.5139034413166923;	1.5226543282607194;	338619
1.5226543282607194;	1.5314052152047466;	337157
1.5314052152047466;	1.5401561021487737;	337492
1.5401561021487737;	1.548906989092801;	337331
1.548906989092801;	1.557657876036828;	338371
1.557657876036828;	1.566408762980855;	336885
1.566408762980855;	1.575159649924882;	337746
1.575159649924882;	1.5839105368689093;	337664
1.5839105368689093;	1.5926614238129364;	337684
1.5926614238129364;	1.6014123107569636;	336003
1.6014123107569636;	1.6101631977009907;	338204
1.6101631977009907;	1.6189140846450178;	337537
1.6189140846450178;	1.627664971589045;	337552
1.627664971589045;	1.6364158585330721;	338449
1.6364158585330721;	1.645166745477099;	338325
1.645166745477099;	1.6539176324211262;	337887
1.6539176324211262;	1.6626685193651534;	337207
1.6626685193651534;	1.6714194063091805;	339129
1.6714194063091805;	1.6801702932532077;	338182
1.6801702932532077;	1.6889211801972348;	338977
1.6889211801972348;	1.697672067141262;	339008
1.697672067141262;	1.706422954085289;	339951
1.706422954085289;	1.7151738410293162;	340181
1.7151738410293162;	1.7239247279733432;	339066
1.7239247279733432;	1.7326756149173703;	340855
1.7326756149173703;	1.7414265018613975;	341689
1.7414265018613975;	1.7501773888054246;	340972
1.7501773888054246;	1.7589282757494518;	341205
1.7589282757494518;	1.767679162693479;	342138
1.767679162693479;	1.776430049637506;	341809
1.776430049637506;	1.7851809365815332;	342621
1.7851809365815332;	1.7939318235255604;	343794
1.7939318235255604;	1.8026827104695873;	344516
1.8026827104695873;	1.8114335974136144;	344669
1.8114335974136144;	1.8201844843576416;	344467
1.8201844843576416;	1.8289353713016687;	346168
1.8289353713016687;	1.8376862582456959;	346500
1.8376862582456959;	1.846437145189723;	346683
1.846437145189723;	1.8551880321337502;	346204
1.8551880321337502;	1.8639389190777773;	348626
1.8639389190777773;	1.8726898060218045;	349372
1.8726898060218045;	1.8814406929658314;	350208
1.8814406929658314;	1.8901915799098585;	351276
1.8901915799098585;	1.8989424668538857;	350947
1.8989424668538857;	1.9076933537979128;	351923
1.9076933537979128;	1.91644424074194;	352528
1.91644424074194;	1.9251951276859671;	353347
1.9251951276859671;	1.9339460146299943;	353767
1.9339460146299943;	1.9426969015740214;	355541
1.9426969015740214;	1.9514477885180486;	357481
1.9514477885180486;	1.9601986754620757;	356569
1.9601986754620757;	1.9689495624061026;	358276
1.9689495624061026;	1.9777004493501298;	358612
1.9777004493501298;	1.986451336294157;	359896
1.986451336294157;	1.995202223238184;	361013
1.995202223238184;	2.003953110182211;	361268
2.003953110182211;	2.012703997126238;	363803
2.012703997126238;	2.0214548840702653;	363879
2.0214548840702653;	2.0302057710142924;	365184
2.0302057710142924;	2.0389566579583196;	366399
2.0389566579583196;	2.0477075449023467;	367809
2.0477075449023467;	2.056458431846374;	367680
2.056458431846374;	2.065209318790401;	369564
2.065209318790401;	2.073960205734428;	371152
2.073960205734428;	2.0827110926784553;	372682
2.0827110926784553;	2.0914619796224825;	373257
2.0914619796224825;	2.1002128665665096;	375127
2.1002128665665096;	2.1089637535105368;	375499
2.1089637535105368;	2.117714640454564;	377702
2.117714640454564;	2.126465527398591;	378498
2.126465527398591;	2.135216414342618;	380253
2.135216414342618;	2.1439673012866454;	381479
2.1439673012866454;	2.1527181882306725;	383965
2.1527181882306725;	2.161469075174699;	385158
2.161469075174699;	2.1702199621187264;	386204
2.1702199621187264;	2.1789708490627535;	388048
2.1789708490627535;	2.1877217360067807;	388326
2.1877217360067807;	2.196472622950808;	390537
2.196472622950808;	2.205223509894835;	392785
2.205223509894835;	2.213974396838862;	393208
2.213974396838862;	2.2227252837828892;	396827
2.2227252837828892;	2.2314761707269164;	397755
2.2314761707269164;	2.2402270576709435;	399615
2.2402270576709435;	2.2489779446149707;	401407
2.2489779446149707;	2.257728831558998;	403346
2.257728831558998;	2.266479718503025;	405558
2.266479718503025;	2.275230605447052;	407826
2.275230605447052;	2.2839814923910793;	409530
2.2839814923910793;	2.2927323793351064;	412230
2.2927323793351064;	2.3014832662791336;	413915
2.3014832662791336;	2.3102341532231607;	414497
2.3102341532231607;	2.318985040167188;	417791
2.318985040167188;	2.3277359271112146;	419604
2.3277359271112146;	2.3364868140552417;	420397
2.3364868140552417;	2.345237700999269;	424061
2.345237700999269;	2.353988587943296;	426635
2.353988587943296;	2.362739474887323;	427896
2.362739474887323;	2.3714903618313503;	429682
2.3714903618313503;	2.3802412487753775;	432473
2.3802412487753775;	2.3889921357194046;	435136
2.3889921357194046;	2.3977430226634318;	437099
2.3977430226634318;	2.406493909607459;	439879
2.406493909607459;	2.415244796551486;	442249
2.415244796551486;	2.423995683495513;	445843
2.423995683495513;	2.4327465704395403;	447881
2.4327465704395403;	2.4414974573835675;	450169
2.4414974573835675;	2.4502483443275946;	452677
2.4502483443275946;	2.458999231271622;	454147
2.458999231271622;	2.467750118215649;	456448
2.467750118215649;	2.476501005159676;	459209
2.476501005159676;	2.485251892103703;	463274
2.485251892103703;	2.49400277904773;	464899
